1,Phone Quality,Price and Value,Phone Hardware,Phone Performance,Packaging and Delivery
دوربین سلفیش که افتضااااااحه من نمیدونم از چی تعریف میکردن من poco x6 pro هم دارم خیلی دوربینش بهتر از a54 هست هم سلفی هم اصلی واقعا با کیفیته ولی این با اون همه تعریفی که ازش میکنن خیلی تو ذوقم زد. باتری هم تا قبل از اینکه گوشی رو آپدیتش کنم خوب بود الان که افتضاح شده!!! هم داغ میکنه هم زود شارژ خالی میکنه نمیدونم چیکار کنم واقعا حس میکنم پشیمون شدم از خرید این گوشی!,Yes,Yes,Yes,Yes,No
"باتری به شدت ضعیف و یک روز رو برای استفاده عادی جواب نمیده،مخصوصا بعد از گذشت ۶ ماه از استفاده",Yes,No,Yes,No,No
خود برند داخل هر باکس موبایل کل تجهیزات را قرار میدهد اما بدست مصرف کننده نمیرسد,No,No,No,No,Yes
من این گوشی رو یک ساله دارم و ازش خیلی راضی هستم البته من این گوشی رو از دیجی کالا نخریدم,Yes,No,No,No,No
"من این گوشی رو از دیجی کالا نخریدم ولی واقعاااا گوشی خوبیه ، با همچین قیمتی این همه امکانات فوق العاده است ، تا الان آپدیت سریعی داشته ، کیفیت دوربین هم عالیه و UHD برای فیلم برداری کیفیت بسیار عالی داره، از نظر شارژدهی خوبه و اگه ذخیره انرژی رو فعال کنی گوشیت تا ۸۰ یا ۸۵ درصد شارژ میشه برای حفاظت از باتری ولی با این حال دیر شارژ خالی میکنه و خوب به نظرم جز بهترین گوشی هاست و خوبیش اینکه محصول جدیدی از سامسونگه",Yes,Yes,No,Yes,No
به نظر من که این گوشی خیلی عالیه ای ۵۵ نخرید چون که قیمتش بالاست و فرقی با این ای ۵۴ نداره,Yes,Yes,No,No,No
از همه نظر عالیه من ۱سال دارمش و راضی هستم هیچ لگ و باگی نداره .میخواستم a55یا s23feبخرم ولی دیدم همین a54خیلی بهتره فرق انچنانی نداره,Yes,No,No,Yes,No
اگه امکانش رو داشته باشید به نظرم ارزشش رو داره که یکم بیشتر هزینه کنید و S23 FE بخرید. اگر نه انتخاب خوبیه.,No,Yes,No,No,No
بعداز یک مدت کوتاه شارژ فوق سریع از بین میره فقط شارژ معمولی میشه من اینطوری شد گوشی ضمانت داشت تعویض کردم ذومی هم ک اومد اینطوری شده,Yes,No,Yes,No,No
"این بار دومه که از دیجی کالا گوشی می گیرم و مشکل داره. دفعه قبل هم یک AYes4 گرفتم هنگ می کرد از برنامه ها بیرون می پرید گفتم شاید به خاطر رم 4 گیگ باشه که واسش کمه ساخت چین بود در صورتی که دیجی کالا نگفته بود ساخت کجاست، ولی الان مشخصات بالا، رم 8، ساخت ویتنام بازم بعضی از برنامه ها می پره بیرون. گوشی ها اولش که روشن کردم وضعیت رو چک کردم 5 ساعت روشن بوده. حدس می زنم گوشی های ریفر رو به ملت می فروشن",Yes,No,Yes,Yes,Yes
"بسته خیلی زود به دستم رسید، این چند روز هم با گوشی کار کردم خوب بوده، شارژر خریداری شده هم عملکرد خوبی داره",No,No,No,Yes,Yes
"ارسال محصول خیلی سریع انجام شد و در تاریخ مشخص شده تحویل گرفتم، فقط بسته بندی داخل جعبه با توجه به اینکه گوشی داخل جعبه بود، به نظرم اطرافش باید بیشتر پر میشد که تکون نخوره",No,No,No,No,Yes
بسیار گوشی خوب و عالی با کاربری بسیار خوب با توجه به قیمتش عالیه در میان رده ها خیلی بهتر از s23fe هست خیلی سریع ارسال شد و به موقع قیمتش از بازار هم خیلی بهتر بود ممنونم از دیجی کالا به خاطر بسته بندی خوب و ارسال سریع,Yes,Yes,No,Yes,Yes
واقعا از دیجی کالا بابت ارسال سریع این محصول تشکر میکنم بسته بندی بسیار خوب و اصالت کالای معتبر خود گوشی هم که کلا حرفی واسه گفتن نداره و از نظر من بهترین میان رده هست که ارزش خرید بالایی داره,Yes,Yes,No,No,Yes
همه چیزش عالیه به جز نگهداری شارژش اونجوری که میگن یه روز کامل استفاده کنی جواب میده نیست حدودا تو استفاده معمولی از اینستاگرام و بعضی از برنامه ها تهش 8 یا 9 ساعت کار میکنه بدون بازی کردن,Yes,No,Yes,No,No
