1,Quality and Performance,Physical Characteristics,Practicality
خوبه فقط یکم اندازش کوچیکه,Yes,Yes,No
نسبت به قیمتش خوبه.‌ قیمت بیشتر ماندگاری و کیفیت و کارایی بیشتر,Yes,No,No
با توجه به قیمت خیلی خوبه,Yes,No,No
خوب بود پیشنهاد میشه,Yes,No,No
کیفیت و قیمت مناسب رنگ مشکی تیره,Yes,Yes,No
قیمت و کیفیت خوب و جادار,Yes,No,Yes
برای باشگاه و کارهای ساده خوبه جاداره و قیمت مناسبی داشت,Yes,No,Yes
خوب بود راضی بودم با اوجه به قیمت خیلی به درد بخوره,Yes,No,Yes
"از هر لحاظ. به نسبت قیمتش عالیه، تنها مشکل من با این کیف اینه که من برای پسرم که فوتبال کار میکنه گرفتم و نهایت یک بطری آب و یک حوله و کفش بزاره توش برای این وسایل کیف خیلی بزرگه و دو سوم کیف خالی میمونه که این هم ایراد نیست می‌تونه مزیت محسوب بشه برای افرادی که وسایل زیاد دارن ولی برای من فضا خیلی بزرگتر از نیاز بود

سلامت فیزیکی

قیمت مناسب

بزرگ و جادار ،مناسب برای وسایل زیاد

وزن سبک

آستر داخل جنس خوب به نسبت هزینه

جنس با کیفیت نسبت به قیمتش عالیه

",Yes,Yes,Yes
خوش دوخت و جادار و کیفیت مطلوب,Yes,No,No
خیلی جنسش خوبه و مارک معروفی هم هست,Yes,No,Yes
"خیلی جنس خوبی داره و بزرگ و جادار هست . مناسب برای باشگاه های ورزشی، کوه نوردی و مسافرت و..، پیشنهاد میکنم حتما بخرید و اگه به فکر خرید کوله ورزشی هستید توی خرید شک نکنید",Yes,Yes,Yes
"اصلا ارزش خرید نداره کیف های بسیار با کیفیت تر تو بازار هست که نصف اینم قیمت ندارن، تصاویر محصول گول زننده هست و بسیار تفاوت داره با محصول ارسالی، جنس کیف جنس کیف های باشگاهی بسیار ارزون قیمت یا جامدادی های ارزون هست و دوام و استحکام نداره

قیمت بالا

نازک

بی کیفیت

کوچک",Yes,Yes,No
"شبیه عکس نیست.

جنس ضعیف.دسته ها پارچه ای ولی تو عکس این طور نیست.کلا توصیه نمیکنم",Yes,Yes,No
"بخرید ضرر نمیکنید . راستش من واسه کیف دم دستی میخواستم که دو دست لباس و کفش بزارم توش .. کار منو را انداخت. زیاد سنگینشم نکردم، من خیلی راضیم جنس برزنتشم محکمه شاید دسته هاش و بنداش دوختش کمی ضعیف باشه خاکستریش خیلی شیکه برای باشگاه استخر، برای سفر دو روزه عالیه ولی کوله حرفه ای نیست برای پیاده روی و راه طولانی و مدرسه اذیت کننده ست مدل سطلی هم هست ، هیچ زیپ داخلی ای نداره جادار ممنون از دیجیکالا لطفا از * کیف سازان * بخرید",Yes,Yes,Yes
"همین یک ساعت پیش تحویل گرفتم، کیفیت دوختش معمولیه ملی کار راه بندازه به نظرم. تو عکس کاملا پرش نکردم ولی نباید تا ته پرش کنین یا چیز سنگین بزارین چون ممکنه تودوزیش و دوختاش اسیب ببینه",Yes,No,Yes
"الان اوردنش همش استرس داشتم نکنه خوب نباشه از بس یه سریا غر زده بودن و ایراد گرفته بودن . والا خوبه!!!!دیگه یه کوله طوری باید باشه که بگید کوله اس!از بس کردن تو پاچه تون و گرون خریدید عادت کردید سرتون کلاه بزارن تازه بهونه هم دارید هر ارزونی بی دلیل نیست!خدایی این کوله هیچ مشکلی نداشت اندازه اش بزرگ و بسیار مناسب طبیعت گردی و باشگاه ولی مناسب مدرسه نیست چون خیلی بزرگتر از کوله های مدرسه اس جنسش و دوختش و خصوصا بررسی کردم واقعا عالیه همه چی تمیز و مقاوم هست من برای باشگاه گرفتم خیلی خوشم اومد . دنبال کوله میگشتم همه بالای یک میلیون یهویی اینو دیدم پناه بر خدایی گرفتم انقدر بعضی ها فقط بلدن ایراد الکی بگیرن . دست تولیدکنندگانش درد نکنه

کیفیت کار عالیه

دوخت تمیز

سبک

جیب های کاربردی

بسیار بزرگ

مقاوم",Yes,Yes,Yes
عالی بود جنسش محکم بود و میتونید برای چن سال استفاده کنید وکسایی که مثل من باشگاه میرن میتونن اونجام استفاده کنن دسته هاشم محکمه و جاداره درکل راضی بودم ,Yes,Yes,Yes
توی خریدتون اصلا شک نکنید و بگیرید واقعا عالی بود هم خیلی شیک و خوشگل بود و هم خیلی جنس عالی داشت,Yes,Yes,No
"به عنوان کوله ای که غیر حرفه ایه خوبه، من برای استفاده معمولی گرفتم مث وقتی که پسرم بخواد توپش رو با ظرف خوراکیش ببره بیرون",No,No,Yes
من این کوله رو برای باشگاه گرفتم . سایزش خیلی خوبه . از نظر کیفیت هم عالیه نسبت به قیمتی که داره,Yes,Yes,No
"من طبق نظرات خریدم ولی یک روز وسایل ورزشیم رو گذاشتم و رفتم باشگاه و برگشتم دیدم دوختش زیر دست داره باز میشه فکر کنم دو سه بار استفاده کنم دسته هاش کنده بشه ،آشغاله پیشمانم از خریدم",Yes,No,Yes
زیپهای زیادی داره طراحیش خوبه خیلی بزرگ نیست ولی به عنوان یه کوله دم دستی بد نیست. نسبت به قیمتش بدک نیست در مورد مقاوم بودنش زیاد مطمئن نیستم,Yes,Yes,Yes
