1,Sound-related aspects,Comfort and ergonomics aspects,Build and design aspects,Battery and power aspects
"به لحاظ کیفیت ساخت، چیز خوبیه باطریش هم یه پنچ شیش ساعت کار میکنه به لحاظ کیفیت صدا برای موسیقی،در مقایسه با سایرِ محصولاتِ‌ اپل برابری میکنه البته از لحاظ کیفت صدا برای شنیدنِ موسیقی، بهتر از اپل و بیتز هم وجود داره",Yes,No,Yes,Yes
"حتما توصیه میکنم البته در روزهای اول استفاده از این ایرفون، سنگینیش کاملا محسوس است ولی به مرور و با انتخاب سایز مناسب توگوشی، کمی این موضوع تعدیل می شود و با استفاده چند روزه ، گوش شما تقریبا به وزن این ایرفون عادت میکنه
مزایا:
کالای اصل

تحویل به موقع

بسته بندی خوب

نویز کنسلینگ عالی

شفافیت مکالمات در شرایط وزش باد کنار شیشه ماشین",Yes,Yes,No,No
"واقعا بی‌نظیر،زیبا،خوش‌ساخت و همه‌چی تمومه

من اینو ۶ ماهه که دارم و تقریبا روزی ۷ ساعت توی گوش منه و درواقع دارم باهاش زندگی میکنم، برای من همه‌ی کار هایی که ازش میخوام رو انجام میده، البته واقعا میشه گفت ایرپاد پرو۲ اپل میتونه خیلی بهتر باشه ولی از نظر قیمت از ایرپاد پرو ارزون تره و از اون بهتر به نظر من..اگر این مقدار پول دارید در خرید این هدفون شک نکنید
مزایا:
کیفیت صدا بالا

واقعا براتون خوب شارژ نگه میداره

بسیار در گوش خوب قرار میگیره

راحتی کانتک به همه‌ی دیوایس ها",Yes,Yes,Yes,Yes
"کیفیت ساخت معمولی کیس، درب کیس لق می‌زند، قسمتی که پشت حلزونی کیس می‌رود بعد از یه مدت اذیت می‌کنه، اما بدون استفاده از آن هیچ مشکلی پیش نمیاد",No,No,Yes,No
رنگ صورتیشو برای خانومم گرفتم. بسیار با کیفیته از لحاظ ساخت ب رنگ مات هستش.صدا و بیش عالیه نیز کنسلینگش معمولیه. اگر گوشتون خیلی کوچیکه ممکنه خوب واینسه ولی برای گوش معمولی اصلا نمیفته از گوش. ب اندروید هم ب راحتی متصل میشه. اگر متصل ب گوشیتون نمیشه وقتی هندز فریا داخل کیس هست دکمه کیس رو نگه دارید.,Yes,Yes,Yes,No
یکی دو روزه استفاده کردم خوشگل و سبک و راحته داخل گوش با آیفون کانکشنش خوبه داخل جعبه کابل تایپ سی به تایپ سی هستش که چون من آداپتور تایپ سی آیفون داشتم با اون راحت میشه شارژ کرد.,No,Yes,No,No
کیفیت صدا بسیار بالاست و کلا دستگاه باشعوریه. پیشنهاد میکنم,Yes,No,No,No
با اینکه عملکرد این فروشنده ضعیف ثبت شده بود ولی من هم هندزفری رو سر تایم برام آوردن هم از بسته بندی و... راضی بودم ولی اگر دنبال هندزفری خوب هستید این مدل بهترین هستش ممنون از سایت خوب دیجیکالا,No,No,No,No
محصولی که اومد تو سایت بیتس تایید نشد و تقلبی به نظر میاد و البته محصول هم پلمپ نبود,No,No,No,No
خراب بود و دی جی کالا مرجوعی رو نپذیرفت و دستم هم جایی بند نبود....,No,No,No,No
"بنده ابتدا Galaxy Buds Pro داشتم که کیفیت و نویز کنسلینگ خوبی داشت اما اصلا توی گوشم ثابت نمیشد و راحت می‌افتاد و داخل گوشم رو هم بسیار دردناک کرده بود که بعد از یک سال تصمیم گرفتم دنبال هدفون راحت تر بگردم و نهایتا اینو انتخاب کردم. اولین بار این هدفون خیلی عالی توی گوش قرار میگیره و اصلا اذیتم نمیکنه اما کیفیت صدا و نویز کنسلینگش شاید یک سطح پایین تر باشه ولی از بنده می شنوید در این هدفونها قرار گیری در گوش بسیار مهم تر است بعدا کیفیت صدا.

جایگیری عالی در گوش

کیفیت صدا و نویز کنسلینگ میتوانست بهتر باشد",Yes,Yes,No,No
"در مقایسه با airpod pro 2

تازه دستم رسید و یک ماه پیش برای همسرم airpod pro 2 خریدم. هر دوتا را با گوشی ایفون تست کردم واقعا کیفیت airpod بالا تر بود ، هم از نظر شفافیت و بیس و کیفیت واقعا قابل مقایسه نیستن وقتی صدا بلند می کنی صدای فرکانس بالا گوش اذیت میکنه ولی airpod اصلا اینطور نبود. نویزکنسلیشن خیلی با غیر فعالش فرق نداشت و اصلا خوب نبود البته ترنسپرنسی قابل قبول بود. قبل از خرید کامنت ها رو خوندم همه خیلی راضی بودن برای همین سفارش داد چون برای باشگاه میخواستم که گوش نیوفته. ولی در مقایسه با air pod واقعا بی کیفیت است. بنظرم برای اختلاف 2 میلیون با air pod اصلا ارزش نداره. کیفیت ساختش هم خوب نبود در محافظش لق میزنه. چند دقیقه بعد تحویل که تست کردم ، مرجوع کردم ولی دیجیکالا قبول نکرد و کاملا ناراضی هستم",Yes,Yes,Yes,No
