Yes,Product Quality,Beginner-Friendliness,Price and Value,Image Quality
هنوز استفاده نکردم .ای چندتا عکس برای تست گرفتم عالی. بود,Yes,No,No,Yes
"برای کسانی که قصد شروع عکاسی را دارند، گزینه بسیار خوبیست",No,Yes,No,No
"من همیشه میخواستم عکاسی رو شروع کنم و کار کردن با دوربین رو یاد بگیرم. همیشه ویدئو و مطلب راجع به سرعت شاتر، دیافراگم، ایزو و ... میدیدم و میخوندم. به عنوان یه تازه کار میگم این بهترین گزینه بود و از انتخابم خوشحالم. الان کلی چیز یاد گرفتم باهاش و عکسایی که میگیره حتی با لنز عادیش ده برابر بهتر از گوشی هاست. یه موضوع ریزی که بهش بر خوردم اینه که معمولا همه جا بهت میگن «اینجا نمیتونی عکس بگیری» من یه بار ازشون تقاضا میکنم که بذارن یه عکس بگیرم بعضیا میذارن. و اینکه معمولا هم حق با اونا بوده (مثلا تو کافه نمیشه با دوربین عکس گرفت) توصیه میکنم یه جستجوی ریزی راجع به این موضوع بکنید",No,Yes,No,Yes
گارانتی 36 ماهه فروختن ولی Yes5 ماهست. دوربین خوبیه,Yes,No,No,No
دوربین بسیار عالیه و برای عکاسی خانوادگی و طبیعت گردی عالیه,Yes,No,No,No
برای شروع عکسای خیلی مناسبه کیفیت بسیار بالایی داره نسبت به قیمتش این مدل نسبت به مدل دیگه 2000d چون لرزشگیر داره بهتر هست,Yes,Yes,Yes,Yes
در کل دوربین خوبیه و تو این بازار قیمتش مناسبه,Yes,No,Yes,No
برا کسانی که تازه شروع کردن گزینه خوبیه,No,Yes,No,No
یه دوربین قنج و منج و جمع جور با کیفیت خووووب,Yes,No,No,Yes
"خیلی دوربین خوبیه، برای کسایی که میخوان مبتدی شروع کنن خیلی خوب و به صرفه هست",Yes,Yes,Yes,No
در کل عالی برای عکاسی ولی اگه تولید محتوا مهمه براتون 250d رو پیشنهاد میکنم ولی قیمتش بالاتره,Yes,No,Yes,Yes
برای شروع عالیه هرچی باشه بهتر از عکس با گوشیه بشی به شخص داره که چی میپسنده وگرنه باهاش عکسای خوبی میتونیدبگیرید.,No,Yes,No,Yes
اول اینکه خیلی خوب بسته بندی و ارسال کرده بودن خداروشکر چون خیلی استرس داشتم دوربین هم نسبت به مبلغ کیفیت خوبی داره,Yes,No,Yes,Yes
دوربین خوبیه ممنون از دیجی کالا واقعا به موقع و بسته بندی شیک تحویل دادن,Yes,No,No,No
خیلی خوب بود فروشنده ای که ازش گرفتم گارانتیش به راحتی فعال شد و اینکه شرکت ارائه دهنده گارانتی یک جلسه کلاس رایگان آموزشی استفاده از دوربین در جمهوری تهران داشتن من به علت دوری راه نتونستم شرکت کنم,No,Yes,No,No
برای شروع دوربین خوبیه ولی لنز خوبی نداره باید یه لنز جدا بخری در کل خوبه,Yes,Yes,No,No
با بیرون اختلاف قیمتی کمی داشت و مناسب بود. معمولا گارانتی ایده آل یه برچسبی رو روی جعبه میزنه که برای من نخورده بود و حس کردم که فاقد گارانتی هستش ولی بازش کردم و کارت گارانتی داخل جعبه بود.,No,No,Yes,No
این دوربین خیلی عالیه بخصوص برای کسانی که میخوان تازه کار با دوربین و عکاسی رو شروع کنن.,Yes,Yes,No,No
"با وضع اقتصادی الان مردم فکر نمیکنم قشر متوسط بتونه دوربینی بهتر ازین بخره.. کار راه بندازه، فقط ای کاش بعضی چیزاش از دوربین موبایل عقب نبود، مثلا برای فیلمبرداری ای کاش فریم بر ثانیه بالای ۶۰ هم داشته باشن دوربینای جدید",Yes,No,No,Yes
شما میتوانید این دوربین رو با دوربین 250D مقایسه کنید و ببیند که فرقه زیادی نداره فقط اینکه دوربینه250D سی میلیون است و این دوربین هفده میلیون من از دیجی کالا خرید نکردم اما این دوربین رو پیشنهاد میکنم,Yes,No,Yes,Yes
برای آموزش بهترین دوربینه ولی فقط برای آموزش برای درآمد خب به دوربین بهتری نیاز دارید برای کار حرفه ای,Yes,Yes,No,Yes
