Yes,Quality-related aspects,Price and value,Performance and functionality,Design and features,Ease of use and usability
در اولین استفاده فوم و کرم بسیار خوبی از قهوه گرفتم و واقعا کمبودی در این دستگاه حس نکردم . البته فوم شیر رو نتونستم دربیارم و فکر کنم قلق داره .در ضمن توی مشخصات نوشته شده گرمکن فنجان نداره که اشتباهه و بالای دستگاه گرمکن فنجانه و خوب هم کار می‌کنه . با جمع بندی که کردم تمام دستگاه هایی مثل نوا بارنی مباشی دسینی رومانتیک زیگما ندوا و.... همشون در یه حد و از یه متریال استفاده شده و حتی تولید کننده هم یکیه که فقط اسم ها رو متفاوت میزنن ‌.,Yes,No,Yes,Yes,Yes
"دوستان من این رو برای خانومم گرفتم. الان حدود یکماه ازش استفاده روزانه کردیم و‌فکر‌ میکنم موارد مهم که باید گفته بشه اینان: این دستگاه قیمت پایینی داره، اما‌ در‌ واقعیت و استفاده روزمره چیز خاصی از دستگاههای تا سقف حدود ۵ میلیون کم نداره (جز قطع کن اتومات). من تجربه کار با مباشی هم داشتم و در نهایت قهوه ای که تحویل میگیرید تفاوتی با اون نداره.",Yes,Yes,Yes,No,Yes
من واسه خرید خیلی تحقیق کردم و با توجه به عکس های موجود و نظرات مثبت کاربران نظرم رو جلب کرد. کیفیت قهوه ای ک میده خیلی خوبه واقعا. ارزش خرید داره و واسه مصارف خانگی عالی هست نیازی نیست هزینه اضافه جای برند بدید و کارتون رو راه میندازه.,Yes,No,Yes,No,No
من دوماهه خریدم راضیم. هنوز نمیدونم فوم یکدست شیر میشه گرفت ازش یا نه. هنوز موفق نشدم. فوم رو قرار میگیره ولی زیر شیر مایع باقی میمونه که البته خیلی مهم نیست با همون فومی هم که میگیرم کلی طراحی میکنم.,No,No,No,No,Yes
دستگاه خیلی خوبیه من باریستام و بادستگاه حرفه ای کار کردم اول انتظار بالای ازش نداشتم ولی فک نمیکردم انقدر این دستگاه عالی باشه خامه قهورو خیلی خوب میگیره اسپرسو عالی تحویل میده اما باید پودر قهوه یکنواخت اسیاب شده باشه‌. درمورد نازل بخارهم خیییییلی خوب به شیر فوم میده قشنگ میشه باهاش آرت زدو حالی به حالی شد فوم زیادم میشه گرفت ازش نازل بخارش تراحی خوبی داره قسمت هواگیرش از خود نازل جدا میشه که برام جالب بود باعث میشه دیگه سوراخ هواگیرش بسته نشه و خیلی راحت شسته شه,Yes,No,Yes,Yes,No
با سلام من‌ این دستگاه رو از دیجی خریدم و از خریدم راضیم به نسبت قیمتی‌که دستگاه داره و کیفیت قهوه میشه گفت عالیه! قهوه از غلظت و خامه خوبی برخوداره و قدرت دستگاهم کاملا مناسبه درضمن این نکته رو بگم که از این مدل محصول بانام های دیگه هم تو بازار هست و مارک رو تغییر دادن مثل کیپر دسینی نوا و غیره درکل دستگاه خوبی هست و ارزش خریدش بالاس با تشکر,Yes,Yes,Yes,No,No
"دوستان از فروشنده بازرگانی شاکری خرید نکنید ، دستگاهی که یکی از خریدار ها مرجوع کرده بود همون رو برای من فرستاده ، دستگاه منم صدای وحشتناک داره و آب ازش نمیاد طبق همون نظری که دوستمون توی نظرات نوشته ، دفترچه راهنما هم داخل نبود ، قطرات آب روی بسکت و بدنه دستگاه مشخص بود یکی از قبل تست کرده و دیده کار نمیکنه مرجوعش کرده ، دیجی کالا خواهشا روی فروشنده ها نظارت بیشتر داشته باش ، همچیز به مرجوع کردن و ضمانت ۷ روزه نیست",Yes,No,Yes,No,No
کیفیت بسیار بدی داشت کنار اسپرسو ساز از دو طرف شکسته بود قبلاً توش آب ریخته بودن معلوم بود مرجوعی بوده دوباره همون کالا ارسال کرده بودن واقعا ناامید شدم از اینکه دیجی هیچ نظارتی رو فروشنده ها نداره عکسم میزارم خودتون ببینید,Yes,No,No,No,No
تک شات میزنه که البته کافیه بعداز اینکه چراغ سبز خاموش میشه چند ثانیه صبر کنید بعد ادامه بدید میتونید اب رو باهاش گرم کنید دستگاه خونگی و اقتصادیه,No,Yes,No,No,Yes
سلام خدمت دوستان عزیز باید بگم دستگاه خوبیه من که خوشم اومد البته تازه گرفتم کیفیتش باید تو بلند مدت معلوم بشه ولی در کل عالیه کیفیت اسپرسو عالی بود فقط یه انتقاد از مسولین دیجی کالا بگم داداش جنسی که مرجوع شده رو برا مردم نفرستین حالا من مرجوع نکردم ولی کار خوبی نیس پول میدیم جنس سالم بگیریم نه اینکه معیوب البته میدونم شما کارتون اینه درست بشو نیستین وسلام نامه تمام,Yes,No,Yes,No,No
از نظر کارایی خوبه و قهوه خوش طعمی داد. برا گرفتن فوم خوب حتما باید چندتا کلیپ‌آموزشی ببینید. ولی فوم با فرنچ پرس خیلی بهتر در میاد. یک دقیقه زمان‌ میبره دستگاه آماده بکار بشه برای اسپرسو. دو دقیقه زمان برای بخار فوم. طراحی ظاهریش زیبا نیست اصلا. جنس پلاستیک بدنه هم کیفیتش پایینه. سعی کنید ضربه نخوره ولی خب قیمت مناسبی داره نسبت به اسپرسو ساز ها. از فروشنده ای که من گرفتم کالا پلمپ نبود و روش جای اثر انگشت داشت.ولی نو بود. فکر کنم دستگاه ویتریتشو داده بمن!,Yes,Yes,Yes,Yes,Yes
به خوبی فوم قهوه رو در میاره نسبت به قیمت عالیه اگه بودجه زیادی ندارید در خریدش شک نکنید ویدیو های اموزشی برای کار با این دستگاه وفوم شیر سرچ کنید برای فوم خوب از شیر پر چرب استفاده کنید هرچه تماس لوله با شیر سطحی باشه کف بیشتر اگر عمیق باشه شیر گرم میشه الان دارم بعد از یکسال نظرم رو ویرایش میکنم هنوز هم عالی کار میکنه مثل روز اول حتما دقت کنید برای اینکه کیفیت دستگاه کم نشه از آب معدنی یا آبی که نیم ساعت جوشیده وسرد شده استفاده کنید,Yes,Yes,Yes,No,Yes
من یک ماه میشه که این دستگاه رو خریدم البته از بیرون حدود صد تومان ارزونتر از اینجا آب خورد. از من داخلش فنجان نبود که فکر کنم فروشنده برداشته..سبد هم فقط یه دوبل داخل کارتن بود که برای تک نفره باید جدا تهیه کرد. از نظر اسپرسو که خیلی عالیه من حتی بیرون همچی اسپرسو ایی ندیدم (از نظر طمع و خامه ای که میده) دستگاه خانگی باید قلقشون دستتون بیاد نهایت دو سه تا اولی رو خراب میکنین ولی بعد زمان دقیق رو متوجه میشین..,No,Yes,Yes,No,Yes
تقریبا تمام کالاهایی که از طریق فروشنده ارسال میشه یا خرابن یا قبلا به شدت استفاده شدن. این کالا از زیر مخزنش آب پس میداد و وقتی با فروشنده ارتباط گرفتیم مسئولیتش رو به گردن نگرفت. امیدوارم دیجی کالا یه فکر اساسی نسبت به رفع این مشکل بکنن.,Yes,No,No,No,No
"سلام این دستگاه در حد دستگاه های ۴،۵ میلیونی اسپرسو میسازه با قهوه لاوازا روسا یه اسپرسو فوق العاده ازش گرفتم . علت قیمت پایینش هم بنظرم برندشه که ناشناخته هست اگر این کیفیت و خروجی برندش مثلا نوا بود قطعا حدودا ۴ میلیون قیمت میخورد تو خریدش شک نکنید.",Yes,Yes,Yes,No,No
فک میکنم دستگاه های تا سه چهار تومن تقریبا مثل هم باشن پس دلیلی نداره هزینه اضافه کنید. همین دستگاه برای مصرف خونگی کاملا جواب میده. مگر این که بخواید چیز حرفه ای تر بخرید و بیشتر از سه چهار تومن هزینه کنید. فقط حس میکنم دستگاه من قبلا باز شده بوده. هم چسب های چکه گیر باز بودن تو عکسا هم مشخصه هم یه تو رفتگی ریزی کنار دستگاه بود. البته کارکرد دستگاه و عملکردش هیچ مشکلی نداشت. و در کل از خریدم خیلی راضی ام.,No,Yes,Yes,No,No
دستگاه بصورت جعبه ضربه خورده . منبع آب شکسته و پر از آب و پودر قهوه در اطراف بدنه به من با یک دوز تاخیر تحویل شد. گویا یکی قبلا مرجوع کرده و حالا بازرگانی شاکری همون دستگاه رو به من انداخته .با این تجربه به دیجیکالا و بازرگانی شاکری که مسئول اصلی این افتضاح هست نا امید شدم .,Yes,No,No,No,No
این دومین باره که این مدلو میخرم .فوم قهوه بسیار عالی میده که حتی تو مدلهای نیمه صنعتی هم ندیدم .ولی متاسفانه فقط به اندازه یه قهوه دوبل و یا دوتا تک گرم میمونه و دوباره باید منتظر بمانید تا دستگاه گرم بشه .برای گرفتن فوم شیر هم زود سرد میشه ..پمپ دستگاه بسیار پرقدرت هستش و من با تهیه یک عدد پرتافیلتر نیکد و کمی تغییرات در دستگاه توانستم ازش اسپرسویی بگیرم که قابل مقایسه با دستگاه های صنعتی صد میلیونی هستش .,No,Yes,Yes,Yes,Yes
اسپرسو ساز زیگما عملکرد عالی فقط یک نکته بگم که بنده اذیت شدم زمان راه اندازی اولیه چرا چون هوا گیری می خواست و کلا اب عبور نمیداد و صدای بلندی میداد که اول فکر کردم خرابه اما با خوندن دفترچه و تحقیق تو اینترنت متوجه شدم هوا گیری می خواد برای اولین بار استفاده حتما هواگیری و شستشو انجام بدید .,No,No,Yes,No,Yes
اگر شک دارید در خریدش میخوام مطمئنتون کنم. هم از نظر قیمت هم از نظر کیفیت انتظارات منو براورده کرده. منم اولش دنبال این بودم که نوا یا دلونگی بگیرم ولی قیمتاشون برای من که روزی چهار بار میخوام استفاده کنم اصلا منطقی نبود. من چون مصرفم کمه نمیتونم در مورد این که برای شرکت ها قابل استفاده هست یا نه نظر بدم. تنها مشکل اینه که دفترچه راهنما همراهش نبود و من هنوز با نازل بخار و پیچ کنترل بخارش نمیتونم درست کنم. توی اینترنت هم متاسفانه پیدا نکردم چیزی.,Yes,Yes,No,No,Yes
دستگاه مناسب از نظر کیفیت و قیمت,Yes,Yes,No,No,No
من دستگاه را در اردیبهشت ماه Yes4YesYes خریداری کردم و در مرداد ماه یک دفعه خراب شد و آب از کناره های دستگاه بیرون زد یک برگه گارانتی به نام رومانیک هوم داخل بسته بندی بود که وقتی تماس گرفتم گفتند چون از دیجی کالا خرید کردید ما قبول نمی کنیم و خود دیجی کالا هم گفت دستگاه گارانتی ندارد کلا از نحوه برخورد و عدم پاسخگویی به شدت ناراضی هستم,Yes,No,No,No,No
دوستان عزیز من برای خرید از دیجی کالا اول در مورد کالا تحقیق میکنم و بعد نظرات دوستان رو میخونم و بعد از اطمینان خرید میکنم در مورد این محصول هم باید گفت که بعد از کلی تحقیق و خواندن نظرات اکثر دوستان به این نتیجه رسیدم که خریدم رو انجام بدم و الحمدلله کالا صحیح و سالم به دستم رسید و ازش استفاده کردم و دقیقا متناسب با نظرات مفید دوستان بود. برای داغ تر شدن قهوه فقط کمی صبر کنید تا چراغ سبز حداقل یک بار خاموش بشه و دوباره سبز بشه تا حرارت بهتری پیدا کنه.,No,No,No,No,No
"با سلام من دوتا دستگاه سفارش دادم که از نا خدا همراه گرفتم یکی اکبند بدون ایراد بسیار عالی و دیگری استفاده شده که مطمئنا مرحوعی بود برای من فرستادن جالب اینجاست که ضمانت نامه هم همراه کالا نبود من حتی دستگاهم روشن نکردم وقتی دیدم دانه های قهوه زیر دستگاه ریخته شده خواهشا دیجی کالا نظارت کن این چه وضعیه این همه منتظر میمونیم بعد دستگاه استفاده شده برای ما میفرستی تازه من نزدیک به ۴۰۰ میلیون خرید داشتم از این شرکت ،،،این مشگل من نیست مشگل خیلی هاست",Yes,No,No,No,No
دوتا دستگاه گرفتم یکی اکبند و دیگری استفاده شده فرستادن,No,No,No,No,No
اگر مثل من شک دارید که اسپرسو ساز بخرید یا با موکاپات کارتون راه میوفته؟! حتما این رو بخرید تا متوجه بشید چقدر قهوه تون خوشمزه تر میشه من تا حالا تجربه کار با اسپرسو ساز نداشتم و واقعا برای اولین بار عالی بود فقط هم کافیه یک بار فیلم استفاده ش رو داخل آپارات ببینید تا کامل راه بیوفتید برای من هم دفترچه راهنما داشت و هم گارانتی,No,No,Yes,No,Yes
من بعد از شش ماه استفاده این نظرا مینویسم این مدل چون درجه فشار بخار نداره نمیدونی چ وقتای فشار بخار فول مبشه بعد دستگاه روشن کنی هر چند دکمه سبز روشن میشه ولی باید بلد باشی همیشه هوا گیری کنید موقع گرم شدن دتستگاه باید پیچ نازل بخار باز کنید تا اب تو مخزن بیرون بیاد هر وقت ب جای اب بخار اومد پیچ ببندید و منتظر باشید دکمه سبز بشه واقعا اسپرسو خیلی خوبی میده,No,No,Yes,Yes,Yes
"من قبل این دستگاه NDVA Yes47 که اشتباها به اسم نوا شناخته میشه داشتم دستگاه خیلی خوبی بود تقریبا ۳ سال و خورده ای ازش استفاده کردم روزی هم ۶ تا قهوه دبل میگیرفتیم ، خلاصه الان ندارمش و این مدل رو که ارزون بود بخاطر قیمتش به عنوان دستگاه دوم خریدم ، بخوام مقایسه کنم واس کسی که نمیخواد زیاد هزینه کنه خوبه ولی ایراد داره که میگم شاید کسی منصرف شد یا برعکس: اول از همه کفی ای که داخلش اب جمع میشه بسیار کوچیکه و هیچکسی رو ندیدم تو نظرات به این اشاره کن",Yes,Yes,Yes,Yes,No
سلام با بررسی فراوان و البته بازدید از نظرات دوستان این کالا رو انتخاب کردم. بسته بندی موقع تحویل که داغون. گوشه هاش مچاله شده و با چسب سمبل شده بود. کارتونو که باز کردم دستگاه کاملا خیس بود و کارتون رطوب وحشتناک داشت. با چشم پوشی از اینکه که تو عرض یکی دو هفته قیمت کالا حدود ۳۵درصد گرون شده گفتم حالا بزار باز کنم اگر اوکی بود بیخیال مرجوعی بشم. که دیدم بخش خروجی آب که عصارگیری از اونجا انجام میشه اثرات قهوه وجود داره! استارت رو که زدم کلا بخش بخارش که کار نمیکرد.,Yes,Yes,Yes,No,No
ببینید اگه اسپرسو ساز تا ۳ میلیون میخواین اصلا لازم نیست هزینه ان چنانی بکنید هیچ فرقی با اسپرسو ساز های نوا و مباشی نداره ممنون از دیجی کالا و فروشنده محترم,No,Yes,No,No,No
