1,Quality,Performance,Design,Price,Ease of use
"من و خاله ام هردو این زودپزو ۲۳ ساله خریدیم و هنوز هم انتخاب من اینه. ایمن، کم صدا، شیک، گوشت توش یک ساعته میپزه، عصای دستمه.",Yes,Yes,Yes,No,No
"سلام، دوستان عزیز اگر نیاز ب زودپز دارید ، پارس استیل ی برند عالی ایرانی هست 🌱",Yes,No,No,No,No
"نسبت به محصولات خوب خارجی کیفیت قابل قبول و قیمت مناسب داره، نقطه ضعفش اینه که تخلیه بخار نداره و باید زیر آب بگیرید تا درش باز شه، و برای اضافه کردن مواد غذایی یکم درد سر داره، ولی کارایی و راندمانش بالا هستش",Yes,Yes,No,Yes,Yes
"چند سالی هست از دیجیکالا خریدم، حرف نداره، از برندهای چینی داخل بازار که به اسم ترک و ایتالیا. میفروشن بهتره، مثلا دسینی گرفتم قبلش، خداشاهده دو دفعه کار نکرد، سوپاپش هم گیر نمیاد.",Yes,No,No,No,No
در کل زودپز خوب و مناسبی هست به موقع به دستم رسید و کاملا سالم بود برای خانواده نهایتا ۴ نفره فکر میکنم مناسب باشه فقط انتظار جنس خیلی قوی نداشته باشید .,Yes,No,No,No,No
فقط برای استفاده از دستورالعمل استفاده کنید که اینجاهست و تو کارتونم هستش کیفیتش عالیه مهمتر از همه خیلی سالمه اندازه اش خیلی مناسبه یه لاستیک اضافه بگیرین,Yes,No,No,No,Yes
یک بار استفاده کردم عالی بود یک ساعته گوشت کاملا پخت فقط در پیرکس و سبدبخارپز نداشت قبل از استفاده حتما توضیحات دفترچه راهنما رو بخونید,Yes,Yes,No,No,Yes
"حقیقتش واشرش خیلی معمولی و همینجوری گذاشته شده بود. دربش درست چفت نمیشه، خیلی هم معمولی بود.",Yes,No,Yes,No,No
"خیلی عالیه توصیه میکنم بخرید. خیلی غذارو زود میپزه و جا میندازه، خیلی دیر اب داخلش تموم میشه، باید کم اب بریزید من یه 3 لیتر و یه 6 لیتر دارم، بخریددددد که پشیمون نمیشید",Yes,Yes,No,No,Yes
یه زودپز عالی که از زودپز های خارجی که داشتم هم کارایی بهتری داره توی یک ساعت همه چیزو می پزه ....اون خطی که روی در هست ایراد کار نیست بلکه نشانگر این هست که دسته های زودپز به موازات هم قرار بگیره,Yes,Yes,Yes,No,Yes
"زودپز خوبی هست اما یک سری نکات رو باید بدونید،اولا سریع لکه آب و حتی لکه انگشت شما رو میگیره و از این حالت قشنگی درمیاد، ثانیا اول پخت اونموقع که داره بخار جمع میشه اون قسمت سوت مانندش صدای خیلی بدی میده اما بعدا قطع میشه، ثالثا زمانهایی که تو اون دفترچه نوشته درست نیست، مثلا نوشته بعد بخارگیری تو ۴۵ دقیقه گوشت گوسفند رو میپزه درحالیکه حداقل یکساعت بعد بخارگیری وقت لازم داره تا بپزه",Yes,Yes,Yes,No,Yes
"استفاده کردیم، جنس بدنه خیلی خوبه ، کاربردش راحته و با نمونه های خارجی ش قابل رقابته",Yes,No,No,No,Yes
"خیلی خوب بود هم زمان پختش و هم بی سر و صدا بودنش ، راضی بودم ازش",No,Yes,No,No,No
من حدود یکسال هست که از این زودپز استفاده میکنم باید بگم که عالیه خیلی سریع گوشت و حبوبات رو میپزه قبل از این دسینی داشتم که درش خراب شد و کنار گذاشتم پارس استیل خیلی سریعتر از اون غذا رو میپزه ولی صداش بیشتر هست یه نکته ای که دوستان خیلی تو کامنتا گفتن اون خط فرورفته ای هست که روی در زودپز هست اون خط یه علامت هست که برای درست بستن درب زودپز شما رو راهنمایی میکنه و نقص کالا نیست در واقع کمی بد سلیقگی توی طراحیش هست که در نگاه اول ممکنه به نظر برسه که این درب ضربه خورده ولی ...,Yes,Yes,Yes,No,Yes
با اینکه در کاتالوگ محصول سبد بخار پز درج شده ولی محصول ارسالی فاقد سبد پز بود,No,No,No,No,No
در مقایسه با کالاهای خارجی که حتی با برندهای معروف هستن و معلوم هم نیست که اصل باشن کیفیت خوبی داره و پخت غذا باهاش خوب انجام میشه . بسته بندی سالم و خوبی داشت. فقط در وضعیتی که در کامل بسته میشه یه مقدار دستگیره ها موازی با هم نمیشه که بهتر بود موقعیت برامدگی که جلوی چرخش در رو در انتهای کیپ شدنش میگیره جانمایی درستی میشد ولی در کل مشکلی نداره و میشه تا قسمت مماس شدن دستگیره در رو کیپ کرد,Yes,Yes,Yes,No,Yes
از قدیم بین زودپزهای ایرانی بهترین مارک بوده حالا استفاده کنیم ببینیم هنوزم به اون خوبیه من 2 تا خریدم برای همکارام انشاله که به خوبیه قبل هست,Yes,Yes,No,No,No
واسه خودم گرفتم محشر بود واسه مامانم سفارش دادم کاراییی خیلی راحتی داره آب ب هیچ عنوان کم نمیکنه … واسه خانمای شاغل زودپز جز واجباته,Yes,Yes,No,No,Yes
کالا کاملا ایراد داشت دستگیره ها روی هم قرار نمیگره . شل بسته میشه. از کنار دستگیره بالایی بخار میزنه و سوپاپ اطمینانش خیلی زود بخار هارا خارج میکنه . نسبت به زمانی که توی کاتالوگ زده خیلی دیرتر می‌پخت. مرجوع هم کردم گفتند کالا ایرادی نداره دوباره همونا ارسال کردند.,Yes,Yes,Yes,No,No
واقعا از دیجیکالا انتظار این کار نمیره .دقیقا همین درب مشکل دار که در عکس های کاربران هست برای من فرستاده شده !!! وقتی یه کالا مشکل داره چرا دوباره می‌فرستید آخه ؟؟!؟ تازه هزینه مرجوعی هم باید بدیم! واقعا این رفتار زشته,Yes,No,No,No,No
خیلی زودپزه خوبی هستش من نزدیک 11 ساله که ازش استفاده میکنم تنها مجبور شدم که چند بار واشرش رو عوض کنم ولی اگر برای باز کردن درب زودپز اونو زیر آب سرد نگیرید و شعله رو خاموش کنید تا خودش سرد بشه و دربش باز بشه عمر واشرش چند برابر میشه,Yes,Yes,No,No,No
به عنوان زودپز یکی از بهترین برندهای ایرانی هست و بهتر بود که لاستیک زاپاس هم در خرید منظور میشد,Yes,No,No,No,No
