1,Quality ,Packaging,Price,Accessories
چیز خوبیه نسبت ب قیمتش,Yes,No,Yes,No
خوبه راضیم کیف هم داره,No,No,No,Yes
خوبه باید کوک بشه,Yes,No,No,No
"برای شروع آموزش خرید کردم، عالی هست",Yes,No,No,No
در کل خوبه پیشنهاد می‌کنم. بسته بندی خوبی داشت و سالم به دستمون رسید.,Yes,Yes,No,No
گیتار مناسبی هست و نسبت به قیمتش ارزش خرید داره و برای افراد که تازه میخان یادبگیرن کاملا مناسبه,Yes,No,Yes,No
"من چون آماتور هستم در مورد استاندارد بودن ساز نمیتونم نظری بدم. اما گیتار کاملا سالم بدستم رسید و بنظرم کیفیت مناسبی داشت. از فروشنده والاس خرید کردم و بسته بندی بسیار خوبی داشتن که جلوی هر آسیب دیدگی رو گرفته. همراه گیتار یک برگه آکورد های پایه، یک پیک و یک گیتار تزئینی کوچیک و سافت کیس با کیفیت مناسبی هم بود. من مدتیه که از سیم هایی که روی گیتار بود استفاده میکنم و مشکلی پیش نیومده. البته لازمه که قبلش گیتار رو کوک کنید و میتونید با اپلیکیشن Fender Guitar خودتون به سادگی این کار رو انجام بدید.",Yes,Yes,No,Yes
عالی بود. ممنون از دیجی کالا. سالم به دستم رسید,Yes,Yes,No,No
حتما بخرید فقط از این فروشگاه. برای کسانی که تازه اومدن توی کار موسیقی کالا ارزان باکیفیتی هست.با تشکر,Yes,No,Yes,No
برای کادو گرفتم خیلی خوب بود قیمت خیلی خوب بود ممنون,Yes,No,Yes,No
براش شروع استفاده میکنم و میتونم بگم خوبه,Yes,No,No,No
خوب بود و توصیه میکنم بهتره سیم هارو عوض کنید,Yes,No,No,No
رنگش فوق العادس صداشم خوبه ممنون از کار شیک و تمیزتون,Yes,No,No,No
خیلی خوب بود و من راضی بودم و مثل چیزی بود که سفارش داده بودم ممنون از شما,Yes,No,No,No
رنگ قهویش رو سفارش دادم و خیلی رنگش قشنگ بود و جنسش هم خوب بود راضی بودم و پیشنهاد میکنم اگر شما هم تازه میخواید گیتار زدن رو یادبگیرید,Yes,No,No,No
گیتار سالم بود و نقص ظاهریی نداشت. همراه با سافت کیس و پیک و دفتر نوت ارسال شد بطور کلی راضیم,Yes,Yes,No,Yes
از‌چیزی که خریدم انتظار گیتار الحمبرا ندارم ولی حداقل انتظار دارم در حد چیزی که هست خوب کار شده باشه. اینو از فروشنده والاس سفارش دادم که بسته بندیش واقعا خوب بود. قشنگ همه چیزش ایده آل بود. تست شده بود . فیزیکش بررسی شده بود به علاوه اشانتیون های همراهش . خود گیتار خوب بود ایرادی نداشت فقط با وجود اینکه گفته بودن کوک شده بود ولی کوک خالی کرده بود که ایرادی نداره و خودم کوکش کردم. صداشم خوبه . در کل واسه شروع مسیر یادگیری خوبه و راضیم ازش . در کل گیتار های توی این قیمت از لحاظ متریال هیچ فرقی ندارن فقط باید خوب کار شده باشن و یه فروشنده کار درست مثل والاس باشه که گلچین کنه و بفرسته واسه مشتری. ممنون از فروشنده والاس بابت بسته بندی و ارسال خوبشون.,Yes,Yes,No,Yes
در کل پشیمون نیسم از خریدم و نسبت به هزینه ای که میکنین ارزش خرید داره و برای افراد مبتدی کاملا مناسبه من از فروشگاه والاس خریدم و بسته بندیش عااالی بود و پیشنهاد میکنم از این فروشگاه خرید کنین چون علاوه بر بسته بندی عالی و تحویل به موقع کلی اشانتیون مثل کیف و پیک و جاپیکی و یه گیتار مینیاتوری و دفتر نت همراهش میفرستن,Yes,Yes,Yes,Yes
