1,Quality/Product quality,Price ,Value,Performance
نسبت به قیمت واقعا خوبه,Yes,Yes,Yes,No
کیبورد خوبیه نسبت به قیمت ولی این مورد برا من گارانتیش سه ماهه تموم شده برام فرستادن,Yes,Yes,Yes,No
کیفیت خوبی داره,Yes,No,No,No
کیبورد خوبیه ولی اگه بتونین بیشتر هزینه کنید مکانیکال(کیبورد گیمینگ حتی بدون ار جی بی فقط مکانیکال),Yes,Yes,Yes,Yes
حتما بخرین خیلی میارزه اگر نمیخایین برا کیبورد ۲ تومن خرج کنید همینو بگیرین,No,Yes,Yes,No
برای من که نزدیک 4ماه دارم و هنوز خوب است,Yes,No,No,No
واقعا خیلی عالی بود به کسانی که دو دل هستند در خرید پیشنهاد میکنم اصلا شک نکنید به این محصول,Yes,No,Yes,No
کیبورد خیلی خوبی هستش تا الان که دارم مشکل نداره,Yes,No,No,Yes
بنده خرید های زیادی از دیجیکالا انجام داده و انجام میدهم اما اجناس گارانتی داری که مدت زمان گارانتی انها با جنس تحویلی مغایرت دارد بسیار آدم را از خرید دلسرد میکند,No,No,No,No
"متاسفانه دیجیکالا کالاهایی رو که گارانتی اونا تموم شده میزاره فروش ویژه، و این توهین به شعور مشتری هستش. حداقل میتونه توی عنوان کالا بنویسه بدون گارانتی نه اینکه زده با گارانتی ۲۴ ماهه گرین. حالا اگر خود فروشنده دیجیکالا نبود میشد قبول کرد ولی از خود دیجیکالا بعید بود این حرکت!!!",No,No,No,No
یک مقدار فاصله بین کلیدها و ارتفاع کلیدها زیاد است.,No,No,No,No
من اینو تو تخفیف گرفتم کیبورد خوشگلیه تا هفتصد هزار تومن بهترین انتخابه اگه بهتر از این میخواین باید بالای یک و نیم میلیون هزینه کنید,Yes,Yes,Yes,No
بهترین کیبوردیه که حتی تا سقف دو میلیون میتونید بخرید تنها مشکلش جنس سیمشه که اونم مراقبت کنید بی نقص میشه در کل,Yes,Yes,Yes,No
کیبورد عالی برای گیم دقت بالایی دارد اما رنگ پاشی ضعیفی داره,Yes,No,No,Yes
خوبه چراغاش متنوعن,Yes,No,No,No
کیبورد خوبیه با این قیمت,Yes,Yes,Yes,No
کلا برای گیم خریدم پیشنهاد میکنم مخصوصا کسانی که بدوارز پلی میدن و فشار زیادی به کیبورد و موس وارد میکنن عالیه,Yes,No,Yes,Yes
بعداز سال ساله فقط سیمش عوض کردم و بخوبی کار می‌کنه و مکانیکی نیست,Yes,No,No,Yes
مشکل خاصی ندیدم توشش تنها چیزی که توی ذوق میزنه این اسپری شدن رنگ مشکیش هست که خیلی مبتدیانه انجام شده,Yes,No,No,No
