1,Quality,Battery,Performance,Price/Value,Design/Physical
"با سیم رایتل استفاده می کنم، جاهایی که آنتن دهی رایتل ضعیف هست اما نت رو به خوبی ارائه میده",No,No,Yes,No,No
بهترین مودم در این رنج قیمتی,No,No,Yes,Yes,No
نسبت به برندای دیگه خیلی بهتره. باتریش ۱۲ ساعت با استفاده زیاد جواب میده. نمایشگر هم همه چیو خوب نشون میده. راه اندازیشم خیلی راحته,Yes,Yes,Yes,No,Yes
خوب‌ بود توی‌این رنج‌قیمت بهترینه,No,No,Yes,Yes,No
کوچیک و سبک بودنش و این که باطریش قابل تعویض هست و توی بازار هم باطریش پیدا میشه عالیه,No,Yes,No,No,Yes
عالی با شارژ دهی خوب,Yes,Yes,Yes,No,No
این مودم سالم و پلمپ به دستم رسید بدون هیچگونه خط و خش که تا دو میلیون تومان به نظرم ارزش خرید داره براش سرعت خیلی خوبیم داره و تا برد ۱۰ متر رو به راحتی پوشش میده تنها نکته ضعف این مودم نبود ورودی تایپ سی هستش که یکم کارو سخت میکنه,Yes,No,Yes,Yes,Yes
تو‌نظر ها نوشته بود نسبش خیلی راحته ولی خیلی سخت بود باید حتما به لپ‌تاپ کامپیوتری وصل میشد که برا من اونم نیوورد بردم مبایل فروشی ok کرد,No,No,Yes,No,No
مودم جیبی و خیلی کوچیکی هست. البته برای استفاده نسبتاً سنگین و طولانی بخصوص در فصول گرم نمیشه داخل جیب شلوار گذاشت چون داغ می‌کنه. سرعت هم حداکثر ۳۰ مگابیت.,Yes,No,Yes,No,Yes
مودم خوبیه فقط باطریش بعد از یک سال ضعیف شد,Yes,Yes,Yes,No,No
عالی واقعا انتن دهی خوب باطری خوب من که خیلی راضیم و واقعا پیشنهاد میدم,Yes,Yes,Yes,No,No
فوق العادست  پیشنهاد می کنم آنتن دهی عالی شارژ عالی,Yes,Yes,Yes,No,No
تو این قیمت ارزش خرید داشت.,No,No,No,Yes,No
فکر نمیکردم انقدر سبک و کوچیک باشه سیمکارت شاتل رو هم روش تست کردم جواب میده,No,No,Yes,No,Yes
