1,Quality-related,Charging-related,Battery-related,Design and Build,Performance-related
"کیفیت خوبی داره و فست شارژه، ۶بار میشه ۰تا ۱۰۰ شارژ کرد باهاش",Yes,Yes,Yes,No,Yes
خیلی سریع شارژ میشه و خیلی سریع گوشی رو شارژ میکنه واقعا جنس بالایی داره. فقط مقداری سنگین هست,Yes,Yes,No,Yes,Yes
مدت زمان شارژ این محصول با شارژ 25 واتی در حدود 7 ساعت است.,No,Yes,No,No,Yes
چند روزی که از دستگاه استفاده کرده ام عملکرد دستگاه مطابق با انتظارم بوده است.,No,No,No,No,Yes
سریع شارژ میشه و سریع هم شارژ میکنه,No,Yes,Yes,No,Yes
"فعلا که تازه خریدم و همه چیز خوبه ، خواستم بگم باهاش کابل بود و کابل خیلی خوبی هم داری حدو بیست سانت",Yes,Yes,No,No,No
عالیه.خیلی پاوربانک خوبیه.,Yes,No,No,No,No
موندم چرا انقد قیمتش به صرفه بود برای ایفون گرفتم حرف نداره,Yes,No,No,No,No
خوبه و کارآمد . توصیه می کنم,Yes,No,No,No,Yes
من راضی هستم وپیشنهاد میکنم شماهم بگیرید,Yes,No,No,No,No
کابل همراه پاور بانک فست شارژ نیست و با کابل‌های فست شارژ هم سرعت شارژ پایین داره! فقط با کابل سوپر فست شارژ به شما فست شارژ تحویل میده ظرفیت و جنس بدنه با کیفیت و خوبه داشتن نمایشگر میزان شارژ هم خیلی به کار میاد,Yes,Yes,Yes,Yes,Yes
"کیفیت بدنه خوبی داره، شارژدهی خوبی هم داره و با هربار شارژ پاور بانک حداقل 5 بار میتونید گوشیتون رو شارژ کنید. فقط کمی سنگینه",Yes,Yes,Yes,Yes,Yes
پاور بانک خیلی خوبیه بخصوص با سیم تایپ c خودش فست شارژ میشه.برای شارژ گوشی آیفون ۱۳ هم خیلی خوب بود.تو ۷ ساعت شارژ کامل میشه.رنگ مشکیش خوشگله و ماته.من براش کیف محافظ هم گرفتم از دیجی کالا.,Yes,Yes,No,Yes,Yes
پاور بانک رو باید تو مدت طولانی نظر بدی ولی تا الان ک واقعا فوق العاده بوده امید وارم ب داستان عجیبی بر نخوره به نصبت ۲۰۰۰۰ بودنش خیلی جم جور تر و سبکه امید وارم ظرفیتش دروغ نباشه,Yes,No,Yes,Yes,No
"شارژدهیش خوبه ولی کیفیت بدنه یکم ضعیف به نظر میرسه ، فعلا که از دستم نیافتاده انداز و وزن متعادلی داره ، در کل راضیم",Yes,Yes,Yes,Yes,Yes
یکبار استفاده کردم پاور خوبیه دیر شارژ میشه ولی سرعت شارژ دهی خوبی داره کیفیت ساخت معمولی داره و بطور کلی پاور خوبیه سعی کنید از شارژرهای مناسب استفاده کنید و از کابلهای بلند چه اورجینال و چه غیره اجتناب کنید تا به شارژر و پاور آسیب نرسد,Yes,Yes,No,No,Yes
پاور مناسب و خوبی وزن سبک داره و کار راه اندازه,Yes,No,No,Yes,No
یکهفته است که این پاور بانک بدستم رسیده . چندین بار تو سفرم ازش استفاده کردم. خودش سریع شارژ میشه و وسلیا دیگه رو هم سریع شارژ میکنه. آبیش خیلی قشنگه,No,Yes,No,Yes,Yes
"بیشت هزارش واقعیه ، پاور شیائومی داشتم ولی شارژ میکردم ده دقیقه تو گوشی نمیموند شارژ ولی این خوبه خییلی سبک نیست ولی خوش حجمه و خوش دست خدائیش شارژ این پاوربانک که گوشیمو شارژ میکنم از شارژر خود گوشی هم بهتره",No,No,Yes,Yes,Yes
نسبت به بقیه پاور بانک ها خوبه فقط اولش وقتی که از پاوربانک به موبایلت وصل میکنی بعد از یک دقیقه یک قطعی در حد ۲ ثانیه بوجود میاد و بعدش به شارژدهی خودش ادامه میده.,Yes,Yes,No,No,Yes
نه خوب شارژ میشود نه خوب شارژ می کند,No,Yes,No,No,Yes
اگر سرعت شارژ کردن گوشی براتون مهمه این پاور بانک گزینه مناسبی نیست چون من تست کردم وقتی گوشی رو به شارژ می‌زنم زمانی که مشخص می‌کنه تا شارژ ۱۰۰ بشه با شارژر معمولی نیم ساعت کمتره از این پاور بانک و با اینکه ظرفیت باتری گوشیم ۴۵۰۰ هست چهار بار کامل شارژ نمی‌کنه و اینکه گاهی قطع میشه,Yes,No,Yes,No,Yes
پاور بانک مناسب و خوبی و وزن سبک داره کار راه انداز,Yes,No,No,Yes,Yes
خط و خش داشت مرجوع کردم,No,No,No,No,No
جنس خوب با قیمت مناسب قدرت بالا فقط یکم وزنش زیاده ولی با توجه به ظرفیت ۲۰۰۰۰ میلی آمپریش طبیعیه دیگه.,Yes,No,Yes,Yes,Yes
واقعا برند خیلی خوب و فست شارژ بودنش و قیمت عالی گارانتی معتبر پیشنهاد میشود,Yes,Yes,No,No,Yes
خیلی برام کار راه بنداز بود گوشی من ۱۲ مینیه تقریبا ۸ ۹ بار گوشیمو شارژ کردم و بازم ۸ درصد براش موند چندین بار از دستم افتاد هیچ اتفاقی براش نیوفتاد سرعت شارژش واقعا خوبه گوشیه منو زیر یک ساعت شارژ میکنه البته گوشی من حجم باطریش کمه تو این بازه قیمتی بهتون پیشنهاد میکنم,Yes,Yes,Yes,No,Yes
خیلی خوبه درکل به کارتون میاد,Yes,No,No,No,No
کیفیت عالی,Yes,No,No,No,No
