1,Quality-related aspects,Cartridge and Ink aspects,Cost and Price aspects
دستگاه اصلا مناسب نبوده و توصیه نمیشود و یکبار استفاده میباشد,Yes,No,No
"با توجه به قیمتی که داره ارزش خرید بالایی داره در کل به نظرات منفی که درباره این کالا داده شده توجه نکنید
مزایا:
چاپ رنگی

جمع و جور

قیمت کم",Yes,No,Yes
"تجربه استفاده از محصول

می خواهم یک نقد عادلانه از این کالا داشته باشم. من این پرینتر را برای مصرف خانگی از همین دیجی کالا خریدم. این کارتریج رو برای کسانی که مصرف کمی دارن و برای کار های عادی(نه برای شرکت و محل کار که کار زیاد می کنن یا لوازم التحریر) به شدت پیشنهاد می کنم.این پرینتر بسیار چاپ خوب و اسکنر قوی دارد و از همه لحاظ(همه لحاظ) عالی هست و فقط مشکل در صدا هست که یکمی (نه خیلی زیاد) بالاهست که راحت میشه با اون کنار آمد و کارتریج اون.تنها مشکل اساسی این پرینت کارتریج اون هست چون هم تعداد چاپ کمی داره(ظرفیتش کمه) و هم قیمت خیلی بالایی دار تقریبا 80 هزارتومن به بالا پول کارتریجش هست.هد چاپ روی کارتریج هست که بعد از حدود 5 بار شارژ کارتیج خورده میشود و کیفیت اول را ندارد و باید عوض کرد. یکی دیگر از مشکلات این کارتریج داشتن شمارنده در داخل آن هست که تعداد صفحات را میشمارد و بعد از رسیدن به تعداد خاصی چاپ صفحه چراغ روی پرینتر(چراغBوC) روشن می شود که نشان دهنده تمام شدن جوهر هست و با شارژ مجدد خاموش نمی شود و باید اون را تحمل کرد یا کارتریج را عوض کرد.شارژ کارتریج نسبتا راحت هست و فقط با استفاده از کیت شارژ یا سرنگ انسولین انجام می شود چون سوراخ های روی اون خیلی کوچک هست. من پس از امتحان و شارژ مجدد جوهر wwm رو پیشنهاد میکنم که کیفیت نسبتا خوبی دارد و هر جوهر قیمتش 6 هزار تومن هست و سپس جوهر اینک تک خارجی یعنی ساخت کره (شیشه شبیه شیشه دارو هست)رو پیشنهاد میکنم که قیمت هر عدد آن 15 هزار تومن هست که کیفیت خیلی بالا و مشابه فابریک رو دارد و پیشنهاد میکنم برای شارژ کارتریج سیاه از اینک تک و شارژ کارتریج رنگی از سه رنگ wwm استفاده کنید تا قیمتش به صرفه شود. نتیجه کلی: این پرینتر از همه نظر همه فن حریف هست و فقط صداش یکمی بالاهست و تمامی مشکلات و نظر های منفی آن رو کارتریجش هست که قیمت بسیار بالا وحجم کمی دارد. و بر خلاف این که میگویند شارژ نمی شود تا حد اکثر کارکرد مفید بین 3 تا 5 بار شارژ میشود و بعد از آن کیفیت چاپ پایین می آید و کارتریج باید عوض شود. این متن یکمی طولانی شد اما برای اونایی که می خواهند این پرینتر را بخرند پیشنهاد می کنم حتما بخنونند و من این متن را به صورت کاملا عادلانه نوشتم و هیچ نفعی نگرفتم . حالا اگه خوشت اومد یه لایکی بکن چیزی ازت کن نمیشه

کیفیت چاپ بالا (خیلی بالا در حد لیزری)نسبت به قیمت

قیمت خیلی عالی

اسکنر قوی+چاپ

نصب خیلی خیلی راحت

شارژ راحت کارتریج ها توسط خود کاربر در صورت خرید کیت شارژ

قیمت بالای کارتریج ها

نداشتن تانک

حجم کم کارتریج مخصوصا کارتریج استارتر

صدای نسبتا بالا",Yes,Yes,Yes
"پرکاربرد و با کیفیت

باسلام من مدتها دنبال پرینتر رنگی ارزان بودم و دو سال پیش این پرینتر را البته با قیمت خیلی کمتر در شگفت انگیز خریدم پس از یکی دو ماه کارتریج ها خشک شدن با توجه به گران بودن کارتریج من برای شارژ به چندین فروشگاه خدمات پرینتر مراجعه کردم که گفتند فقط باید کارتریج نو بخرم یا پرینتر را دور بیاندازم ولی پس از جستجو در اینترنت خوشبختانه کیت شارژ کارتریج جوهرافشان را پیدا کردم و به راحتی کارتریج شارژ شد و مثل روز اول کار کرد. روش شارژ: 1- تهیه کیت شارژ همراه جوهر ها حدود 100 هزار 2- برداشتن برچسب روی کارتریج 3- تزریق 2 سی سی جوهر به سوراخ کارتریج نکته: کارتریج رنگی 3 سوراخ دارد که برای تشخیص ترتیب رنگ ها آنرا کمی مرطوب و روی دستمال کاغذی قرار دهید و سپس هر رنگ را در محل خود تزریق کنید. بعضی سایتها می گفتند در آب قرار دهید تا هواگیری شود اگر 2 سی سی بریزید نیازی به هواگیری نیست اگر با 2 سی سی جواب نداد کمی بیشتر بریزید ولی من همیشه با 2 سی سی راحت شارژ می کنم. البته این روش برای چند بار شارژ جواب میده و دیگه شارژ نمیشه که باید کارتریج نو بخرم.

قیمت مناسب

شارژ راحت کارتریج

کیفیت چاپ خوب

توانایی چاپ با کاغذهای عکس گلاسه

قیمت بالای کارتریج",Yes,Yes,Yes
"پرینتر نه یک بار ...بلکه هزار بار مصرف.

واسه مصرف خونگی عالییه در ضمن برای کساییکه که نمیدونن و هی مینویسن یک بار مصرفه اصلا این طور نیست.و نیاز به به خرید کارتریج نیست با یه سرنگ ساده و با یه جوهر ده هزار تومنی شارژ میشه پس انقدر نگران گرانی کارتریج نباشید.لطفا لایک کنید تا حد اقل اونایکه خریدن و نمی دونن از استرس در بیان.ممنون.",Yes,Yes,No
"دوستان غصه تموم شدن کاتریج ونخورین همون کاتریجهایی که داخل دستگاه هست شارژمیشه روش شارژو براتون میگم خوب بود ی صلوات مارو مهمون کنید کیت شارژش زیاد پیدا نمیشه خودتونو تو دردسر نندازین توهمین سایت دیجی خودمون جوهر ارزان هست من خریدم حالا روش شارژو بهتون میگم اول اینکه جوهر تهیه کردین 4عدد سورنگ انسولین تهیه کنید از نوع ایرانی چون سوزنش بلنده با بلند کردن برچسب روی کارتریج متوجه سوراخهای ریزمیشوید کاتریج رنگی 3سوراخ یکی بالا 2تاپیین چپ وراست سوارخ بالا رنگ قرمز سوراخ راست رنگ زرد سوراخ چپ رنگ ابی ‌درکاترج مشکی ی سوراخ بیشتر وجود نداره اونم‌ که مشکیه داخل سوراخهای کاتریج رنگی هر کدام200میل از جوهرخصوص به خودش با ی سرنگ سوا‌ به ارامی تزریق کنید 100میل میشه 1سرنگ کامل
",No,Yes,No
این پیرینتر را من دو سال پیش خریدم بسیار عالی تا الان در حدود ۷۰۰ برگ باهاش پرینت گرفتم شاید حدود دویست تا عکس باهاش چاپ کردم کیفیت عکس روی کاغذ گلاسه واقعا فوق العاده است کارتریجش رو هم شاید حدود ۱۰ بار شارژ کردم با اینکه چراغ‌های کارتریج هم روشن شده ولی هیچ مشکلی براش پیش نیومده رنگ هاش هم توی بازار هست میتونید بخرید با سرنگ خیلی راحت شارژ کنید فقط اشکالش سر صدای یکم بیش از حدش هست دوستانی که اطلاع ندارند لطفاً نظر الکی ندن.,Yes,Yes,No
"دوستان کارتریج رو خودتون میتونید شارژ کنید چرا اینقدر گله میکنین. یه سرچ ساده بزنید خودتون متوجه میشین من تا بحال بیش از ۵ بار کارتریجو شارژ کردم و کیفیت چاپ اصلا پایین نیومده. فقط به این نکته توجه کنید که بعد از هربار شارژ کردن بسرعت پرینت نگیرین، اجازه بدین چندین ساعت کارتریج در دستگاه بماند تا جوهر کاملا در نازلها نفوذ کند. من بعد از هربار شارژ کردن معمولا ۱۲ ساعت بهش فرصت میدم سپس پرینت میگیرم",Yes,Yes,No
"پیشنهاد خرید

خیلی هم خوب برای شارژ کارتریج ابتدا برچسب روی کارکتریج را جدا کنید برای کارتریج رنگی سه تا سوراخ(بالایی قرمز پایین سمت چپ آبی و پایین سمت راست زرد) کوچیک داره که باید با یه وسیله ای مثل سوزن باید گشادش کنید و با سرنگ می تونید شارژ کنید. دوتا نکته 1بعد شارژکارتریج باید با یه دستمالی چیزی جلوی کارتریج را فشار دهید تا رنگ بیاد بیرون 2اگر بعد شارژ کارتریج پیغام خطا درسیستم داد روی پرینتر یک دکمه با علامت دایره مثلث است 30 فشار دهید درست میشه

امکان شارژ کارتریج

کیفیت خوب چاپ

سه کاره بودن",Yes,Yes,No
"قابل توجه دوستان به ازای هر 5 بار شارژ یکبار آب جوشیده سرد شده بریزید که لجن رنگ تشکیل نده و کارتریج بیشتر کار کنه من 10 ساله پرینتر جوهر افشان کانن دارم واقعا عالیه و هنوز کارتریج خودشو استفاده میکنم

کیفیت عالی قیمت مناسب",Yes,Yes,Yes
