1,Price,Quality,Installation,Cooling,Size
یخچال خوبیه بخرید پشیمون نمیشید. نسبت به پولش خیلی خوبه.ممنون از دوسنانی که نظر دادن من با نظر بقیه خریدم خیلی هم راضیم . ممنون از دیجی کالا بابت تخفیف خوبش,Yes,Yes,No,No,No
"باتوجه به اینکه به عنوان یخچال مطبخ خریداری کردم و یخچال دوم حساب میشه نسبت به قیمت و زیبایی و کارایی به صرفه تره تا خرید یخچال معمولی، همسرم عاشقش شد",Yes,Yes,No,No,No
حدود 6 ماهه که خریدمش اصلا صدا نداره هم یخچال هم فریزرش خوب خنک میکنه اندازش مناسبه نسبت به برندهای خارجی که گران تر هستن بنظرم هیچی کم نداره,No,Yes,No,Yes,Yes
۲۵ میلیون خریدم ارسال سریع نصب سریع و رایگان سه سال هم گارانتی داره . با این قیمت ارزش داره. یخ سازش دستیه فقط,Yes,Yes,Yes,No,No
از ارسال به موقع و با احتیاط دیجی کالا ممنونم مامور ارسال بسیار با احترام یخچال رو به داخل منزل اوردن فقط نصاب مادیران خیلی دیر برای نصب و راه اندازی اقدام کردن,No,No,Yes,No,No
واقعا عالیه همه جوره خوبه من واقعا راضیم هم شکلش قشنگه هم خنکیش عالیه همه جوره بیسته هم قیمتش خوبه ازدیجی کالاواقعاممنونم,Yes,Yes,No,Yes,No
"نسبت به قیمت کیفیت خوبی داره البته در شگفت انگیز فروش توسط دیجی کالا یخچال و فریزر خیلی خوب سرد میکنه این مدل 28 فوت عمق کمی داره و برای خانواده های بیش از سه نفر به نظرم مناسب نیست، ما برای خونه باغ استفاده می‌کنیم که کافیه ولی برای استفاده مداوم و هر روز کوچیک هست",Yes,Yes,No,Yes,Yes
خدایی با این قیمت (من توشگفت انگیز ۲۵و۷۰۰خریدم)واقعا عالی هست تنها ضعف این دستگاه اینکه پایین قسمت یخچال به خنکی بالای یخچال نمیشه.نصاب هم گفت یخچال بهترین درجه ۴ هست بعد از یکماه از خرید الان میوه که پایین یخچال توحدود چهار روز خراب شد من درجه یخچال گذاشتم ۲ بهتر شده.درکل تنها ضعف گردش هوا یخچال ضعیف هست,Yes,Yes,No,Yes,No
"دیس پلی یخچال خراب بوده و اومدن تعویض کردن،قطعه تعویض شده بالانس داره میگم این مشکل داره نماینده جلوی من با شرکت تماس گرفته میگه این از نظر ما ایراد محسوب نمیشه،درب هم خش داشته که زیر مشبا معلوم نشده بوده الان اونم گردن نمیگیرن😮‍💨",No,Yes,No,No,No
بهترین چون استیل هست رنگش نمی‌ریزد و زنگ نمی‌زند نسبت به برندهای چینی که سفیده و آبریز بعد از یکی دو سال زنگ زمینه اونایی دارن درب ساید شون پوسیده میدونن من چی میگم .,No,Yes,No,No,No
عالی برای خرید .استیل ضد زنگ .بدون پوسیدگی در محل اب ریز و بدون ریختن رنگ بعد از استفاده,No,Yes,No,No,No
یخچال بصورت پلمپ رسید به دست ما ولی وقتی برای نصب اومدن بدنه زده داشت و با پیگیری های زیاد از مادیران بعد از یک هفته تعویض شد و در نهایت یخچال سالم بدست ما رسید و‌نصب شد,No,Yes,Yes,No,No
یه جنس بی کیفیته ایرانی پر صدا .اونا که بالای ۲ سال استفاده کردن هم نظر بدن متوجه حرفام میشید. پولتونو دور نریزید,No,Yes,No,No,No
"ظاهرش شیک و خوشگله دیروز به دستم رسید سالم و بدون خطو خش درب واحد تحویل گرفتم یک ساعت بعد هم اومدن برای نصب برای خانواده ۳_۴نفره کافیه سر و صدا هم نداره و اینکه قطعا به برندهای خارجی نمیرسه ولی به اندازه پولی که میدی کمی هم بیشتر نیازتو برآورده میکنه در کل راضیم اگه بودجتون همین قدره بخرید پشیمون نمیشید در ضمن اینکه قیمت دیجیکالا از،سایت هم پایین‌تره",Yes,Yes,Yes,No,Yes
عالی زیبا و جادار.یخچال دومم هست و خیلی ازش راضی هستم گارانتی هم عالی بود پاسخگویی.ارسالش هم عالی و بموقع بود.همه جوره مورد تاییده.۲۵۸۰۰ خریدم و کرایه تا بندرعباس ۵۶۰ دادم و بشدت راضی هستم.از محصولات ایرانی پشتیبانی کنین چون عالیه.با تشکر از ایکس ویژن,Yes,Yes,No,No,Yes
"ظاهرش که خوبه ،تازه دارم استفاده میکنم ،بی صدا هم هست،فقط ارسالش توسط دیجی کالا زیاد جالب نیست ،توی تهران تا سه طبقه میبرن جلو خونه تحویل مشتری میدن،ولی تو شهرستانها،حتی مراکز استان دم درب حیاط تحویل میدن،ظاهرا خون تهرانی ها رنگین تر از بقیه ملت ایرانه",No,No,No,No,No
خریدخیلی خوبی بود. سریع ارسال شد. مامور تحویل مثل همیشه عالی. بسته بندی خوب و همون روز هم اومدن برای نصب .,No,Yes,No,No,No
از نمایندگی حدود ۳ میلیون ارزون تر بود دیجی کالا با یک روز تاخیر اومد اما با توجه به تعطیلات عید فطر مشکلی نداشت از نظر من ۲۴ ساعت بعد اومدن برای نصب باربری بسیار با ادب و منصف بودن که ما طبقه چهارم بودیم 300 تومن اضافه گرفتند که قیمت پایین تر از بیرون بود باز خود یخچال هم خوبه.,Yes,Yes,Yes,No,No
