1,Quality,Design,Performance,Camera,Price
گوشی من رسید. ممنون از دیجی کالا واسه سرعت عمل عالی و قیمت مناسب.,No,No,No,No,Yes
"به جای موبایل، گیرنده بلوتوث تی‌پی‌لینک فرستادن! تفاوت جنس و قیمت این دوتا محصول از زمین تا آسمونه. این حد از اشتباه نوبره دیگه. مرجوع کردم ولی هنوز پول رو برنگردوندن. با این تجربیات دیگه چطور میشه به دیجی کالا اطمینان داشت!",Yes,No,No,No,Yes
من خودم s23 ultra دارم و خب اومدم ببینم چه تفاوت هایی داره گوشیم با s24 ultra یه سری قابلیت های هوش مصنوعی جدید اضافه شده که به نوبه خودش گوشی رو جذاب تر و کاربردی تر کرده ولی آنچنان تفاوتی نکرده واقعا در مورد تخت بودن گوشی هم یه جورایی میتونم بگم سلیقه ایه من گوشی خودم که یه منحنی داره رو بیشتر دوست دارم چون حس گرفتنش توی دست بهتره ولی اینو واقعا میتونم به جرئت بگم که s23 ultra و s24 ultra واقعاااا سر تر از آیفون هستن و اینو فقط من نمیگم,No,Yes,Yes,No,No
به نظرم باید واقع بین بود و تو شرایط یکسان در مورد یه محصول بررسی رو ادامه داد. من به خرید آیفون هم فکر کردم. بله از نظر کیفیت و کارایی بالاتره به نظرم ولی نه تو ایران. من از هزینه ای که کردم برای سامسونگ بیشتر بهره میبرم تا خرید یه گوشی آیفون. بعد رو نمیدونم ولی تو شرایط امروز سامسونگ بهتره.,Yes,No,Yes,No,Yes
دو روز پیش به همراه هدیه ایر بادز پرو ۲ خریدم و حس فوق العاده ای داره. اگر با قیمتش مشکلی ندارید به نظر من از آیفون ۱۵ پرومکس خریدش مناسبتره,Yes,No,No,No,Yes
درود گوشی خیلی عالی بود خوش ساخت و دوربین عالی هرچی ازدوربین بگم کم گفتم من صفحه نمایش اس۲۳الترا رو ترجیح میدم خیلی بهتر بود تو کیفیت و عمق رنگ سامسونگ میگه باآپدیت مشکل غلظت رنگ اس۲۴الترا حل میشه عکسها مقایسه سه پرچمدار اخیر سامسونگ هست اس۲۲ و اس۲۳ و اس۲۴,Yes,No,Yes,Yes,No
من امروز خریدمش فوق العاده اس تماما با هوش مصنوعی مدیریت میشه یه رابط کاربری فوق العاده هزار سال سراغ آیفون نمیرم,Yes,No,Yes,No,No
به عنوان کسی که از s21 ultra استفاده می‌کنه باید بگم صفحه ادج خیلی آزاد دهنده است شاید اولش جذاب باشه ولی بعد از یک مدت مشکل هاست که رو میشه و این خیلی خوبه که انحنا صفحه برداشته شده,No,Yes,No,No,No
"اگه به دنبال زیبایی و فول امکانات هستین S24ultra بخرید،ولی اگه به دنبال کلاس گذاشتن و بدون کارایی در ایران آیفون بخرید. یا حق",No,Yes,Yes,No,No
"بعد از مدتها اصرار سامسونگ برای صفحه نمایش خمیده ,این گوشی میتونه جانشین نوت ۵ اسطوره باشه",No,Yes,No,No,No
روز اول که خریدم صفحه نمایش کم رنگش ناراحتم کرد ولی توی تنظیمات که برین میتونیین طوری پررنگ وتنظیمش کنید که هیچ صفحه نمایشی به پای s24ultra نرسه,No,No,Yes,No,No
من بعد از سالها از آیفون امدم روی سامسونگ و الان واقعا پشیمون نیستم. سرعت گوشی عالی دوربینش فوق العاده رنگ بسیار جذاب و شیک از انتخابش پشیمون نمیشید دوستان,Yes,Yes,Yes,Yes,No
"بنظر من s24 یه سرو گردن از آیفون ۱۵ سرتره واینکه آیفون دیگه توی کشور ما رجیستر نمی شه بزرگترین مشکلش هست ، موبایل باید کار راه انداز و قابل اعتماد باشه و نه فقط برای بازی و ....",Yes,No,Yes,No,No
"گوشی خوش دست، کیفیت دوربین عالی، صفحه نمایش عالی، به نظرم بهترین گوشی بازار محسوب میشه تو خریدش شک نکنید",Yes,Yes,No,Yes,No
سامسونگ. و هوش مصنوعی بهترین ترکیب از تکنولوژی رنگ مشکی. موجود کنید,No,No,No,No,No
چندساله سری اس آخرین مدل استفاده میکنم انقدر خوبن که نمیتونم چیزی دیگه دستم بگیرم به عنوان کسی که سالها عکاس و فیلمبردار بودم این گوشی بینظیره واسه عکاسی و هنگ اصلا واسش معنی نداره با خرید آیفون پولتونو خراب نکنید🤟🏼,Yes,Yes,Yes,Yes,Yes
گوشی بسیار خوب با قیمت بسیار نامناسب,Yes,Yes,Yes,No,Yes
"گوشی عالی، و اینکه مانیتور تخت شده تغییر خوبیه که بهتون حس متمایز بده نسبت به قبل",Yes,Yes,Yes,No,No
