Yes,Quality,Size,Price,Comfort,Material
ازهرنظر نسبت به قیمت خوب بود من راضی بودم,Yes,No,Yes,No,No
۱ سایز کوچیکتر یا ۲ سایز کوچیکتر از سایز پاتون بگیرید چون قالبش بزرگه,No,Yes,No,No,No
علی رغم کیفیت مناسب متاسفانه طراحی کفش به گونه ای هست که پاشنه ی پا رو نمیگیره و کفش هنگام حرکت لق میزنه.به نظرم حیفه شرکتی که داره خوب کار میکنه این کفشها جمع نکنه و بدنام بشه!,Yes,No,No,Yes,No
درکل خوب بود سبک و راحته عالیه,Yes,No,No,Yes,No
"از نظر سایز کفش خوش پا و راحتی هستش ، توی کوه استفاده کردم محکم و عالی بود ، ولی در برابر آب هیچ مقاومتی ندارد و به آن نفوذ میکند که البته طبیعی هستش روی کفش پارچه هستش ولی ایراد محسوب نمیشود .",Yes,Yes,No,Yes,Yes
خوب بود ولی بعد سفارش دیدم مردانه نوشته شده,Yes,No,No,No,No
"با سلام کفشش خیلی نرم و با حاله فقط یکمی بزرگ بود برای من...حالا کیفیت جنسش دیگه الله و اعلم
",Yes,Yes,No,Yes,Yes
"برای کوهپیمایی کفش خوبیه فقط موقع شستشو کفش جا بندی هاش زنگ میزنه و حتما باید قبل شستشو آن قسمت فلزی (حلقه فلزی) را باید با وازلین چرب کنید که دچار زنگ زدگی نشه ، این دومین باری هست که این کفش را سفارش میدم",Yes,No,No,No,Yes
کفش عجیبیه. دو جفت بخری یه شماره. اندازه هم نیستن. من دو بار خریدم شماره چهل. یکی اندازه دقیق. یکیش کمی تنگه!!. یکیش دوخت تر تمیز. یکیش پر از زدگی و نخ بیرون زدگی. کلا انگار شانسیه یه بار خوب میشه یه بار مطابق میل نیست. کیفیت هم معمولی به پایین هستش. همین چهارصد تومن بیشتر ارزش نداره.,Yes,Yes,Yes,No,No
"این کفش داخل دیجی کالا سه مدل براش تعریف شده که فقط رنگشون فرق داره.هر سه یکی هستن. مشکی، خاکی، سرمه ای طوسی مانند. داخل خود سایت شیما مدلش نیم بوت مردانه دماوند هستش. اینو گفتم برا خرید بدونید سه مدل یکسان و یک جنس هستن سردرگم نشید. سایزش برا من اوکی بود اندازه س. جنس و کارکردش هم باید طولانی مدت جواب بده تستش کنی. ولی برا کوهنوردی تفریحی سبک و هفته یک بار احتمالا جواب بده ظاهرا خوب بنظر میاد . عکس مشکی و خاکی رو براتون قرار میدم ببینید کنار هم. برای کوه خاکی خوبه چرک گیره. یه زیبایی خاصی هم داره میشه برای داخل شهر هم استفاده ش کرد زمستان.طوری نیست مختص کوهنوردی باشه.",Yes,Yes,No,No,No
"کفش نسبتا زیبا، با قیمت مناسب

من وقتی پام کردم متوجه شدم هنگام قدم برداشتن کفش کمی از پام در میاد و به نظرم به خاطر نوع طراحی پشت پاشنه بود که برای من مناسب نبود

قیمت مناسب

کیفیت خوب

نسبتا زیبا

خوب فیت پا نمیشه",Yes,No,Yes,Yes,No
"دوستان این بوت مردانه است و خانم هایی که می خواهند این بوت خریداری کنند از راهنمای اندازه، باید اندازه را مناسب خودشان انتخاب کنن! من با استفاده از فیلتر دیجی کالا به عنوان بوت زنانه سفارش دادم جنس معمولی دارد و ظاهرش هم مثل عکس هست ولی سایزش بسیار بزرگ هست!خواستم به بقیه دوستان هم پیشنهاد بدهم در صورت تمایل به خرید به سایز دقت کنید. روی خود بسته هم نوشته بوت مردانه!",No,Yes,No,No,Yes
"کفش ایرانی متوسط

نمیدونم واقعا تو کوه دوام بیاره یا نه یا چقدر کثیف بشه ، ولی تصمیم گرفتم نگه ش دارم ، البته دقت کنید قیمت ۴۴۹ تومنه ، الان صندل پلاستیکی ۲۰۰ تومنه . یکی از دوستام مردونه مشکی و طرح ارتشی داشت خیلی خوب براش کار کرد ، امیدوارم اینم خوب در بیاد. عکس گذاشته یه خانمی ، شبیه همونه کفشم ، کنتراست دو نوع پارچه مشخصه و حس میشه.

خوش رنگه

متریال رویه ضعیف",Yes,No,Yes,No,Yes
نسبت به قیمتش خیلی خوبه سبک و راحت و شیکه و دوخت خوبی داره کوه نرفتم باهاش ولی واسع پیاده روی خوبه,No,No,Yes,Yes,No
