1,Physical Properties,Economic and Practical,Performance,Ingredients
"عالیه. همون چیزیه که از فلویید انتظار میره: آبکی و سبک، فوق‌العاده زود جذب، کاملأ مات، بدون چربی، بدون سیلیکون و پارابن، بدون تست حیوانی. من قبلأ اوسرین داشتم ولی اینو بیشتر پسندیدم. فلویید رو قبل از مصرف باید خوب تکون بدین و واسه صورت و گردن سه انگشت کامل بزنین تا محافظت کافی داشته باشه.",Yes,No,Yes,Yes
"پوست من چرب و مستعد جوش هست . واقعا برای من عجیب بود که یه برند ایرانی یه ضد افتاب به این خوبی بزنه ، هرچی از خوبیش بگم کمه.بافت سبک و فلوییدی، روصورت مات میشه ، رد سفیدی نمیذاره .از UVA و UVB هم محافظت میکنه.عکس تستشم روی دست گذاشتم‌.فقط قبل استفاده خیلی خوب تکونش بدین.
مزایا:
از پوست در برابر UVA و UVB محافظت میکنه

Spf 50 داره

بافت سبک و فلوییدی

جوش آور نیست

خیلی سریع مات میشه روی صورت

رد سفیدی نمیذاره
معایب:
بالا بودن قیمت نسبت به حجم (۵۰ میل )",Yes,Yes,Yes,No
ضد آفتاب فلوئیدی و بسیار سبکی هست ولی روی پوست رد سفیدی میندازه و صورت رو براق میکنه. چون خیلی رقیق هست پس برای محافظت کامل دو بند انگشت باید زده بشه.هم روی پوست خشک میشه استفادش کرد هم روی پوست خیس.اس پی اف ۵۰ داره و در برابر اشعه uva و uvb و بلولایت محافظت میکنه پس زمانی که داخل خانه هستیم برای محافظت در برابر اشعه موبایل و تلویزیون و لپتابم میتونیم استفادش کنیم.هیالورونیک اسید داره که آبرسان هست.نیاسینامید داره که برای پوست چرب و منافذ باز مناسبه البته مقدارش خیلی کم هست داخلش .تاریخ انقضاش خوب بود من با تخفیف ۵۶ تومن گرفتمش .تست حیوانی نداره .۲۰ دقیقه قبل از خروج از منزل باید روی پوستتون بزنیدش.من قبلا از لوسیون ضدآفتاب آردن هم استفاده کردم که اونم خیلی سبک بود ولی صورتو برق مینداخت و خیلی عطری بود.از چلنج هم استفاده کردم که کمی عطری بود و خاصیت ضدجوش داشت ولی خیلی کم صورتو سفید میکرد و باید زیاد ماساژ میدادی تا سفیدیش بره ولی خوب بود.از ژوت هم استفاده کردم که چسبناک بود و رد سفیدی و براق مینداخت.بایودرم هم قبلا استفاده میکردم که دیگه پیدا نمیشه .الان ساین اسکین استفاده میکنم که راضی ام چون مای صورتمو یجوری برق مینداخت که همه فکر میکردن صورتمو شستم و خیسه.برای احترام به طبیعت هم داخلش بروشور جدا نذاشتن و داخل جعبه نوشته ها رو چاپ کردن که عالیه.ولی این ضدآفتاب هیچ پلمپی نداشت نمیدونم مدلشه یا نه.در ضمن نان کمدوژنیک هست که باعث ایجاد جوش نمیشه و ضد آب هم هست.پارابن و سیلیکون هم نداره.,Yes,Yes,Yes,Yes
"دوستان در خرید این ضدآفتاب شک نکنید فلویید واقعی هست و بهترین ضدآفتابی که تا به حال استفاده کردم قطعا همینه واقعا راضی هستم فقط اگر حجمش بیشتر بود خوشحالتر میشدم عکساش هم براتون میذارم

بافت سبك و زود جذب

طراحي درب محصول

فاقد پارابن و سيليكون

بدون تست حيواني

رد سفيدي بجا نميذاره

محصول تازه با تاريخ توليد و انقضا

تخفيف خوب

پلمپ و كاملا بهداشتي به دستم رسيد

SPF50 و حاوي هيالورونيك اسيد

عالي براي پوستهاي چرب

واقعا نداره",Yes,Yes,Yes,Yes
"این بسیار ضد افتاب خوبیه ی بافت سبک و ابکی و رقیق داره اصلا چرب نیست و ی چیز سیلیکونی کوچک رو نوکش داره ک باعث میشه موقع استفاده کثیف کاری نشه و این خیلی خوبه واقعا با توجه به کیفیتش قیمت فوق العاده ای داره هاوی هیالورونیک اسید هست بخواطر همین حس مرطوب‌کنندگی و شادابی ب پوست میده اویل فری هیست ینی برای همه پوست ها مناسبه برای انتخاب روزانه و زیر ارایش و قبل از بیرون رفتن عالیه چون اصلا سنگین و چرب نیست من عاشقش شدم و حتما شارژش میکنم، راستی برای محافظت کافی، ضد افتابای رقیق و ابکی مثل همین ضد افتاب سه انگشت و ضد آفتاب های معمولی و کرمی دو انگشت کامل باید ضد افتاب بزنید و اگر توی روتینتون از اکتیو ها مثل ویتامین سی یا لایه بردار های شیمیایی و ضد جوش ها استفاده میکنید حتما باید توی خونه هم ضد افتاب بزنید؛ لطفا اگر مفید بود لایک کنید

محافظت کافی

بافت سبک

عدم احساس چربی

کیفیت عالی

فاقد پارابن",Yes,Yes,No,Yes
من خیلی دوسش داشتم ولی چخبره اینقد گرون شده نه ده تومن نه بیس تومن 90تومن گرونتر شده تو ی هفته؟😐😐مملکت نیس ک دیگه توان خرید ضدآفتابم نداریم با این حجم کمش دو هفته ای تمومه تازه,No,Yes,No,No
ضد آفتاب ضد تعریق میخواستم برای ورزش که این تنها ضد آفتاب موجود بود . گرفتم که امتحان کنم و اصلا از مای توقع نداشتم که همچین محصولی بزنه. قبل مصرف باید تکون بدین و بافت اش فلوئیده که باعث میشه هم خیلی سبک و زود جذب باشه هم اینکه سفید نمیکنه. در برابر تعریف هم مقاومه و لیست مواد تشکیل دهنده اش هم خوبه ماده بدی نداره. نیاسینامید داره که برای کم کردن التهابات و کاهش جوش و چین و چروک و تنظیم چربی پوست خیلی موثره و ازون جایی هم که این ضد افتاب شیمیایی ا خیلی مهمه که چه موادی داره چون جذب پوست میشه و مواد تشکیل دهنده اش واقعا خوبه و هیالارونیک اسید داره که یه ابرسان خیلی قویه و همون موقع که استفاده میشه تاثیرشو میشه دید. فکر کنم تا حالا 4 بار تمدید کردم در کل به نظرم بین ضد افتاب های موجود از لحاظ قیمت و کیفیت این بهترین حساب میشه فقط روی ویتامین cنمیشه زد چون نباسینامید داره همین در کل عالیههههه امیدوارم شرکت سازنده فرمولاسیون و کیفیت شو خراب نکنه مثل بقیه شرکت های ایرانی بعد یه مدت,Yes,Yes,Yes,Yes
خوب بود ولی اونقدرا هم که تعریف میکنن سبک نیست بوی پماد میده که دوس نداشتم این ویژگیش رو و امیدوارم اصلاح بشه در نسخه های بعدی و کمی چرب میکنه و یکم هم رد سفیدی که زود جذب میشه. در کل نسبت به همه ضدآفتاب های ایرانی سبک تره. دوسش داشتم. فیلم بافتش رو آپلود میکنم,Yes,No,Yes,No
"از این ضد‌آفتاب خیلی راضی هستم. کاملاً جذب میشه و اصلاً روی پوست نمی‌ماسه. قیمتش خیلی مناسبه و امیدوارم یهو افزایش قیمت نداشته باشه. یادتون باشه قبل از استفاده اول حسابی ضدآفتاب رو تکون بدین. امیدوارم تونسته باشم تو انتخاب بهتون کمک کنم. لطفاً نظرات همراه با عکس رو لایک کنین تا بقیه‌ی دوستان هم ببینن و توی خرید بهشون کمک بشه.
",Yes,Yes,Yes,No
"من پوستم چرب و حساسه و جوش میزنم قبلا ضدآفتاب لافارر استفاده میکردم که به علت افزایش قیمتش دنبال یه صد آفتاب با قیمت مناسب و خوب بودم که اینو طبق نظرات گرفتم واقعا هم عالیه مثل لافارر حتی بهتر از اون هم هست،اصلا چرب نیست زود جذب میشه واقعا فلویییدیه،جوش نزدم باهاش، آبرسان که هست،زیر میکاپ هم میشه استفاده کرد❤

گالری کهن

",Yes,Yes,Yes,No
