Yes,Quality,Size,Material,Price,Design
چادر بزرگ و باکیفیت و متریال عالی,Yes,Yes,Yes,No,No
کیفیت افتضاح پیشنهاد میدم خرید نکنید,Yes,No,No,No,No
خیلی خوب بوده هشت نفرس خوابیدنی هم تا سه نفر راحت جا میشن چارتا دیه یکم سختتر ولی دوسش دارم خوب بوده,Yes,Yes,No,No,No
درکل خوبه چادر خوبیه من راضیم بزرگ هست پشه بند داره زیپش خوبه,Yes,Yes,Yes,No,No
در كل چادر خوبیه من در محیط خانه باز كردم و تستش كردم كاش فقط یه فیلم آموزشی از نحوه بستن چادر میذاشتید ولی در كل ممنونم از عوامل خوب دیجی كالا,Yes,No,No,No,No
جنسش عالی هستش ضد آب هستش ومن این چادر را برای کسانی که میخواهند بخرم توصیه می کنم. و روش جمع کردن چادر روهم گزاشتم,Yes,No,Yes,No,No
"سلام الان که دارم پیام میدم توی بارون شمال پناه بردم تو ماشین .چادر نسبتا خوبیه ولی ضد آب نیست بارون شدید باشه از سقف پایین چادر ،زیر چادر ،لای درز پنجره ها آب وارد میشه",Yes,No,Yes,No,No
برای جمع کردن چادر از گوگل سرچ کنید ب راحتی جمع میشه,No,No,No,No,No
نسبت به قیمت ارزش خرید دارد. بیرون باید بیشتر پول بدهید.,Yes,No,No,Yes,No
امروز بدستم رسید کیفیت پارچش زیاد جالب نیست پاره نیست اما خوردگی داره رنگشم کمرنگتر از عکسه انگار کهنس کلا یذره بیشتر هزینه کنید یچیز بهتر بگیرید اما بسیار بزرگ و جاداره,Yes,Yes,Yes,Yes,No
با همین قیمت می ارزه کیفیت معمولی نه خیلی نازکه نه ضخیم از داخل کاملا پلاستیکی از بیرون یه مقدار طرح برزنت داره دوختشم معمولیه کلا نسبت به پولی که میدی همونقدر آش میخوری,Yes,No,Yes,Yes,No
خوب بود نسبت به پولی که دادم کیفیتش هم خوبه,Yes,No,No,Yes,No
تو محیط خونه باز کردم خوب بنظر میومد هنز فرصت نکردم تو طبیعت تست کنم,No,No,No,No,No
به نظرم انتخاب خوبی داشتم هم بزرگه هم پارچه ی ضخیم ی داره و به موقع هم به دستم رسید,Yes,Yes,Yes,No,No
کیفیتش خوبه,Yes,No,No,No,No
"مدلی که من خرید کردم این سری از فروشنده فک کنم بازگانی جیسنایت بود ، میشه گفت بنسبت خرید های قبلی پارچه کار شده در کف و همچنین جنس کیف چادر خیلی ضعیف کار شده و از تصاویر محصول خیلی ضعیف تر هست لطفا دیجی کالا بررسی بیشتری داشته باشه",Yes,No,Yes,No,No
نسبت به قیمتش واقعا کیفیت خوبی داره,Yes,No,No,Yes,No
جادار بود سه تا پنجره داش جنسشم پلاستیک و اشغال نبود,Yes,Yes,Yes,No,No
قیمت و کیفیت مناسب,Yes,No,No,Yes,No
خوبه جنسش هم خوبه و در کل ظاهر زیبایی هم داره,Yes,No,No,No,No
 بزرگیش 4نفر میشه ادم بزرگ داخلش خوابید خوبه درکل ولی دقت در رنگ مورد نظر انجام نشد دو رنگ خوستم تک رنک فرستادن درکل پیشنهاد میکنم بخرین تو این رنج قیمت,No,Yes,No,Yes,Yes
سلام.چادرمسافرتی بسیارخوبی بود.به دیگران پیشنهادمیکنم.دست فروشنده دردنکنه بابت بسته بندی عالی.ممنون,Yes,No,No,No,No
راضی کننده بود ولی متأسفانه دوختش خیلی ضعیف بود,Yes,No,No,No,No
جنس خوبی دارد و ضخیم هست و ضد آب ولی برای تابستان بدرد نمیخوره چون پلاستیک و گرمه و رنگ روشن بهتره چون تیره گرم میشه من پشیمانم روشن نخریدم,Yes,No,Yes,No,Yes
پارچه به کار رفتش یکم نازکه من فک میکردم ابی و تک رنگه ولی دو رنگ بود,No,No,Yes,No,No
اندازش بزرگ بود و جنسشم خوبه و از دوخت و زیپش هم راضی بودیم ممنون از فروشنده محترم,Yes,Yes,Yes,No,No
خیلی خوب بود قیمت و جنس‌ و اطلاعات محصول کاملا درست بود,Yes,No,No,Yes,No
بسیار کاربردی و جنس خوبی داره,Yes,No,Yes,No,No
بعد ۵روز انتظار چادر پاره تحویل شد. تازه باید ۵روز صبر کرد که مامور بیاد تحویل بگیره بعد ۲روز دیگه نتیجه غایی اطلاع داده بشه. اینه نتیجه خرید غیرحضوری!!!؟؟؟؟,Yes,No,No,No,No
خوبه فقط کفی خوب نی همین ک اونم باید زیرانداز رو برای همه بندازید,Yes,No,No,No,No
دوختش ضعیف بود جای دوختاش از هم باز شده بودند,Yes,No,No,No,No
خیلی با کیفیت و بزرگ و جادار. کمی بوی نفت میده,Yes,Yes,Yes,No,No
نسبت به قیمت کیفیت قابل قبولی داره...,Yes,No,No,Yes,No
"یه تیکه کوچک کف چادر پاره بود تو جابه جایی حتما پاره شده خیلی ناراحت شدم خب ما پول داریم میدیم آدم اعصابش خورد میشه
",No,No,No,No,No
جای جیب و محل آویز لامپ داره . با توری پشه بند و هواکش و ضد آبه ۸ نفرم راحت میتونن بشینن بنظرم واقعا مفته بیرون اینو الان بالای ۲ تومن میدن,Yes,Yes,Yes,Yes,Yes
واقعا جنس عالی داره زخیم و کاربردی و خوشگل دقیقا همونی که سفارش دادم رسید دستم,Yes,No,Yes,No,No
هنوز استفاده نکردم بیرون اما تو خونه باز کردم خیلی بزرگ و حاداره . برای ۸ نفر نشسته است اما خوابیده ۳ تا ۴ نفر توش جا می شن,No,Yes,No,No,No
"من چندتا چادر داشتم،تو‌این رنج قیمت بنظرم چادر خیلی خوبی هست",Yes,No,No,Yes,No
جادار و راحت طبق اطلاعات درج شده,No,Yes,No,No,Yes
خیلی بزرگ و خوب هست هنوز زیر باران استفاده نکردم که ضد آب بودنش رو بدونم,Yes,Yes,Yes,No,No
