1,Performance,Design and Appearance,Quality and Durability,Practicality and Convenience,Power and Battery
مکشش خوب بود برای جارو شارژی خونگی. ظاهرش هم زیباست. جنس پایه اش بی کیفیت و سبک,Yes,Yes,Yes,No,No
واقعا عالیه هم قیمت خوبی داره هم قدرت خوبی داره جمع و جور راحت,Yes,No,No,No,No
"همه چیز تمامه واقعا ، عالیه مکشش. دوستان گفته بودن صداش زیاده ولی بنظرم کاملا طبیعیه بخاطر مکش خوبش. زود به زود فیلتر و مخزنش رو تمیز کنید که دوام و کارائیش بیشتر بشه.",Yes,No,Yes,Yes,No
جنس کالا عالی بسته بندی عالی,No,No,Yes,No,No
جاروی فوق العاده هستش . مکش خوبی داره خیلی هم شیک باکلاس هست . من از خریدم راضی هستم . حدودا بیشتر از یک هفته طول کشید تا دستم برسه ولی ارزششو داشت . عالی بود . ممنون,Yes,Yes,Yes,No,No
محصول تازه به دستم رسیده هنوز تجربه خاصی نیست ولی قدرتش خوبه متاسفانه پلمپ محصول باز شده بود .,Yes,No,No,No,No
وسیله شیک وزیبایی هستش کارشم خوبه وبسیارکاربردی باتشکرازدیجی کالا,Yes,Yes,No,Yes,No
انقدر خوب بود یکی دیگه سفارش دادم,No,No,Yes,No,No
قدرت مکش خیلی خوبی داره خیلی دم دستی و کار راه اندازه,Yes,No,No,Yes,No
کالایی کاربردی با مکش خوب,Yes,No,No,Yes,No
خوشگله و کم جا می گیره کار راه می ندازه,No,Yes,No,Yes,No
بسیار کارامد و عالی برای سرامیک و البته برای ماشین هم معرکست,Yes,No,Yes,Yes,No
"محصول با کیفیتیه، یکم صداش زیاده و همچنین با شارژ فول فقط ۱۰ دقیقه کار میکنه که البته خودش هم توی مشخصاتش گفته و اینو میدونستم ولی کاش میشد مدت استفاده اش بیشتر بود. در کل خوب و قابل قبوله",Yes,No,Yes,No,Yes
"شیکه، مکش و قدرت خوبی داره و خرید آن توصیه می شود.",Yes,Yes,No,No,Yes
اگر بچه کوچیک و حیوان خونگی دارین صد درصد بهتون پیشنهاد میدم,No,No,No,Yes,No
خیلی خوبه مکش خوب و سبک شارژ هم خوب نگه میداره,Yes,Yes,No,Yes,Yes
الان یک ساله که دارم استفاده میکنم و بسیار راضیم. برای نظافت ماشین و اتاق عالیه.وقتی بچه داری توی خونه هیلی به درد بخور هست. من باهاش داخل تستر و گوشه کنار کابینت هم تمیز میکنم. وقتی کامل شارژ بشه حدودا ۲۰ دقیقه مداوم شارژ نگه میداره,Yes,No,Yes,Yes,Yes
بخرید و از کیفیت عالیش لذت ببرید,No,No,Yes,No,No
"برای ما ک خونه‌مون سرامیکه و کوچیکترین آشغالی بیفته روش مشخصه خیلی کاربردیه،دیگه نیاز نیس برای اشغالای کم جاروبرقی بزرگ و سنگین رو بیارم،من کاملا راضیم ازش،مکش خوبی داره، صدا هم داره ک طبیعیه!",Yes,No,No,Yes,No
مکش خیلی خوبی داره و تخلیه و تمیز کردن و شستن مخزنش هم راحته. ولی بعد از شارژ کامل نهایتا YesYes دقیقه میشه استفاده کرد که تا حدی قابل قبوله ولی نمره خیلی خوبی در بخش باطری نمیگیره. قسمت لولاش به نظر آسیب پذیر میاد و باهاش خوب برخورد کنین. فیلتر هاش هم فکر نمیکنم پیدا بشه و باید مرتب بشورین تا بهتر براتون کتار کنه,Yes,No,Yes,Yes,Yes
سلام عالی بخصوص اتومبیل گردش خوب لوله.صدای نسبتا زیاد. مکش راضی کننده. قیمت راضی کننده نیست. شکیل .,Yes,Yes,No,No,No
در حد یه جارو دستیه خوبه ولی صداش بلند,Yes,No,No,No,No
واقعا عالی بود بهتر از اون چیزی بود که فکر میکردم,Yes,No,No,Yes,No
بسته بندی خوب بود کیفیتش هم عالیه مرسی از دیجی کالا و فروشنده محترم,No,No,Yes,No,No
من برای ماشین خریدم کاملا مناسبه حدودا ی ربع شارژ نگه میداره و مکش قابل قبولی داره قیمتش هم نسبتا مناسبه,Yes,No,No,No,Yes
"نظرم رو مخصوصا بعد از چند ماه استفاده اعلام می کنم : مکش خوب و کاملا کاربردی با یکبار شارژ ، حدود یک ربع کار می کند من برای زیر و اطراف میز غذاخوری گرفتم که بسیار کاربردی بود برای ماشین هم خوب است دهانه مکش بزرگ نیست و انتظار زیادی نداشته باشید و بهیچ وجه جایگزین جارو برقی نیست فیلتر داخلی اش، نسبتا گرون و خدود ۳۰۰ هزار تومان است که احتمالا هر یکسال باید عوض شود و یک تجربه اینکه : یک کم نوشابه ریخته بود روی سرامیک و من با این جارو تمیز کردم ، بشدت به فیلتر آسیب زد بهیچ وجه اینکار رو نکنید دو تا فیلتر دارد که باید هر چند بار استفاده ، هر دو را تمیز کرد کیفیت ساخت خوب است و از بابت آن نگرانی نداشته باشید",Yes,No,Yes,Yes,Yes
جاروی بسیار شیک و کاربردی هست. می تونم بگم واقعا عصای دسته. بسیار راضی هستم و خریدش رو توصیه می کنم.,Yes,Yes,No,Yes,No
"با توجه به جمع شدن دستگاه فضای کمی رو اشغال می‌کند، جدا شدن محفظه دستگاه این امکان را فراهم می‌کند که بعد از هر بار استفاده به راحتی آشغال و گردو خاک جمع شده در جارو را تخلیه کنیم، قدرت بالای مکش جارو علاوه بر خرده‌های ریز اجسام باعث جذب مو و نخ روی فرش می‌شود",Yes,Yes,No,Yes,Yes
"با این قیمت ، مفته! عالی و کاربردی",Yes,No,Yes,Yes,No
مکش خوب و جمع و جور,Yes,Yes,No,No,No
"در کل بی‌نظیر و فوق‌ العاده‌ست این جارو شارژی... تو خریدش شک نکنید. هم زیباست، هم قوی و پر قدرت.",Yes,Yes,No,No,Yes
مکش قوی و خوب ولی ای کاش یکم سریش بلندتر بود گوشه هارو نمیشه تمیز کرد,Yes,Yes,No,No,No
برای کار روزانه بسیار عالی و قدرتمند من مدلهای قدیمی این برند رو داشتم همشون عالی بودن,Yes,No,Yes,Yes,No
قدرتمند. زیبا. کاربردی,Yes,Yes,No,Yes,No
قدرتش خوبه عالیه,Yes,No,Yes,No,No
قدرت خوبی داره زمانش برای یه جارو شارژی به نظرم مناسبه من تاحالا یکسره روشنش نزاشتم ببینم چند دقیقه مداوم روشن میمونه.ولی چون بچه کوچیک دارم.در روز چند بار در حد یکی دو دقیقه روشنش میکنم پر قدرت کار میکنه.و یک هفته تا ۱۰ روز شارژ نگهمیداره برای من. البته بستگی به مقدار استفاده داره هر وقت شارژش تموم بشه میزنم شارژ خوبیش اینه که تو ۴ ساعت شارژ کامل میشه,Yes,No,No,Yes,Yes
"عالی،ی خورده کوچکه",No,Yes,Yes,No,No
قدرت مکش خوب وکیفیت قابل توجه,Yes,No,Yes,No,No
وقتی به دستم رسید یک ترک کوچک روی محصول بود اما در بازه زمانی مرجوعی وقت نداشتم و نشد مرجوع کنم. مکش معمولی داره و سریع شارژش تموم مشه طوری که کلا تو ذوقم خورد و دیگه استفاده نکردم,Yes,No,Yes,No,Yes
"حدود ا سالی هست خریدم ، راضی ام ، برای داخل ماشین و همینطور تو خونه هم خیلی استفاده می کنم قدرت موتور بالا..شستشو و استفاده راحت",Yes,No,Yes,Yes,Yes
اگر کسی دنبال جاروشارژی دستیه بهترین گزینست.من جارو برقی سامسونگ دارم که مکشش عالیه و قدرت این جاروشارژی یه چیزی مابین قدرت ۲و۳ جاروبرقیمه.ظاهرش واقعا جذابه.در عرض کمار از ۴ ساعت شارژ میشه و برای جاروشارژی ۱۰ دق زمان زیادیه برای استفاده.,Yes,Yes,No,Yes,Yes
درکل نسبت به مدل‌های مشابه و شکلش قابلیت کاربردهای بیشتری رو داره,No,Yes,No,Yes,No
جارو کوچک و قوی و کاربردیه. پایه شارژ خوبی داره و از خریدش خوشحال شدم.,Yes,Yes,Yes,Yes,Yes
متاسفانه اون جور که فکر میکردم نبود واقعا چرا من برای ده تا ۱۲ دقیقه استفاده ۳ ملیون پول بدم ؟ هر جور حساب میکنم شبیه اسباب بازیه اگه قراره این همه پول بدید یه جارو برقی بخرید,No,No,No,Yes,Yes
