1,Quality,Size,Performance,Price
"چند ماهی هست که خریدم و استفاده میکنم، به عنوان کسی که سربازه تقریبا یک روز درمیون لباس و ملافه هام رو باهاش میشورم و کار رو به خوبی انجام میده، حجم خوبی داره و تقریبا همه لباس ها رو باهاش میشورم. خشک کنش هم خوبه و کار راه انداز. فقط متریالش خیلی قوی نیست که همه چی کیپ باشه ولی تا الان که مشکلی به وجود نیاورده. در کل خوبه، پیشنهاد میکنم.",Yes,Yes,Yes,No
جعبه دستگاه پاره بود,Yes,No,No,No
"خوب و کار راه انداز،سر وصدای زیاد هم نداره",Yes,No,Yes,No
"نسبت به قیمتش خیلی خوبه، مسئله ای که هست، یک پتوی دو نفره توی خشک کنش جا نمیشه.، کاش بزرگترشو گرفته بودم.",No,Yes,No,Yes
خیلی خوبه و قیمتش مناسب تر از بیرونه من دوتا خریدم یکیم برای آشنام و پتو رو ب نحو احسن میشوره,Yes,No,No,Yes
کسایی که محدودیت فضا دارن حواسشون باشه که از سایز استاندارد بزرگتر هست,No,Yes,No,No
"سلام لباسشویی خوبیه برا خانواده پرجمعیت، محله شستشو بزرگه اما جایگاه خشک کن نه متاسفانه اندازه معمولی داره نه در حد خودش",Yes,Yes,No,No
"اصلا با کیفیت نیست

اصلا راضی نیستم

تخلیه آبش قوی نیست

ظرفیت خشک کنش کوچیکه مجبوریم دوبار استفاده کنیم

یه پلاستیک داخل خشک کنشه موقع خشک کردن دور بالا در میره

پشتیبانی بسیار ضعیف",Yes,Yes,Yes,No
برای رو تختی دونفره لحاف درست نمیچرخه من برای پتو و لحاف روتخت خریدم,No,Yes,No,No
کالا دقیقا مطابق خرید مجازی بود دروقت مناسب وبا هزینه ارسال مناسب سالم بدستم رسید,Yes,No,No,No
ظرف لباسش خیلی بزرگه حتما در نظر داشته باشید که برای مکان هایی که حجم لباس زیادی دارن به کار میاد,No,Yes,No,No
"درود.متشکرم عالیه و قیمتش از بازار خیلی مناسب تر،سپاس",Yes,No,No,Yes
"لباسشویی باقیمت عالی وارسال خوب وبه موقع به دستم رسید،،، وکالاباکیفیت است",Yes,No,No,Yes
من راضی بودم به نظرم لباسشویی خوبی میاد,Yes,No,No,No
قیمت مناسب . ارسال سریع,No,No,No,Yes
خیلی خوبه من که راضیم زنگ زدم نماینگی اومد رایگان نصب کرد رفت ۲۴ ماه گرانتی داره👍❤️,Yes,No,No,No
چون خانواده ی پرجمعیت هستیم کارکرد این ماشین برایمان خیلی مناسب است,No,Yes,Yes,No
ممنون از پشتیبانی خوب دیجی کالا .این لباسشویی توسط فروشنده انتخابی من تامین نشد .اما دیجی کالا با مبلغ بالاتر اون رو از فروشنده ای دیگر تهیه وبرای من ارسال کرد .این نشان دهنده تعهد دیجی کالا به مشتریانش هست .تشکر وسپاس .امیدوارم این لباس شویی با برند ایرانی سالها یادگار خوبی از این کار دیجی کالا باشه وبرام کار کند,No,No,No,No
بد نیست کار راه اندازه,Yes,No,Yes,No
"کیفیت و کارکرد خوب،پتو دو نفره و رو فرشی Yes2متری رو خوب میشوره،گارانتی میاد رایگان توضیحاتی میده چیز خاصی نداره،خوبه برای کسایی که حساسن بدن پتو رو بدن بیرون برا شستشو",Yes,Yes,Yes,No
"من یکسال پیش خریدم،و بسیار ازش راضی هستم و کلی پتو و لباس و عروسک توش شستم و همه رو مثل تازه از مغازه خریده باشم تحویلم داد و کیف میکنم باهاش،ممنون از سازندش،ممنون از مامور تحویل کالا که عالی بودن و کامل واسم توضیح دادن که آبی که در لباسشویی بوده و جعبش خیس شده بابت تست لباسشویی و سلامت کالا بوده تا بدست ما برسه .",Yes,No,Yes,No
