1,Quality ,Price,Appearance,Performance,Comfort,Water resistance
"برای استفاده روزمره خیلی خوبه، بندش کمی خط و خش میفته روش بعد از یه ماه استفاده،ضد آب بودش خوبه، شب نمای ضعیف داره",Yes,No,Yes,No,No,Yes
اگه من باشم تا رنج ۲ میلیون تومن هم که شده همین رو میخرم ... ساده شیک و ارزش خرید خوبی هم داره! توضیحات رو هم تو نکات مثبت و منفی نوشتم که امیدوارم به دردتون بخوره! فقط اینطور بگم که جزو بهترین خریدام توی دیجی کالا بوده و واقعاً من راضیم! بخرین مطمئنم پشیمون نمیشین. بعضی از نظرات هستن که منفی نوشتن و ناراضین که شاید جنس بد براشون ارسال شده وگرنه برا من که عالی بود. همین دیگه ... موفق باشین,Yes,Yes,Yes,No,No,No
"هیچ ارزونی بی دلیل نیست یه ساعت بی کیفیت که همان روز اول شیشه ساعت از داخل بی دلیل بخار کرد و دیگه هم نرفت،وزن سنگین ، تاریخ شمارشم که درست کار نمی کنه ارزش خرید نداره حتی توی تخفیف",Yes,Yes,No,Yes,No,Yes
ساخت بی کیفیت که توی تخفیف هم ارزش خرید نداره وزن سنگین نا متقارن بودن اجزای ساعت تاریخ شمار خراب شیشه هم که از داخل بخار کرده,Yes,No,Yes,No,Yes,Yes
"برای ‌پدرم گرفتم خیلی خوشش امد نسبت به قیمتش خیلی ارزنده‌اس و شیک و زیبا،کاراییش و موتورش در طولانی مدت مشخص میشه ولی شکیل و خوب به نظر میاد",Yes,Yes,Yes,Yes,No,No
"اول از فخر بازار‌ خریدم شیشه ساعت خط و خش داشت.هر دو سه ساعت یکبار یک دقیقه عقب می افتاد. بعدش دوباره از ویرا واچ گرفتم همه چیز اوکی‌ بود یه پلاستیک گذاشته بودن رو شیشه که خش نیفته. وزنش بد نیست، روی عقربه شب تابش حساب نکنید . کار میکنن ولی باید حتما زیر نور گرفته بشه قبلش تا شبنما بشن و الا در‌حالت عادی شبنما نیست. باقی موارد همه چیز اوکیه . ساده زیبا قیمت مناسب و کیفیت به نسبت خوب.",Yes,Yes,Yes,Yes,Yes,No
ساعت خیلی خوبیه فقط تن ها مشکل اینه که یکمی سنگینه ودرکل از خرید پشیمون نمیشید,Yes,No,No,No,Yes,No
ساعت خوبیه قشنگه و قیمتش هم مناسبه اما روی شبنمای ساعت حساب نکنید چون خیلی ضعیفه برای فعال کردنش هم سی ثانیه چراغ گوشی رو بگیرید سمتش بعد تو تاریکی فعال میشه,Yes,Yes,Yes,Yes,No,No
"خوب و زیباست فقط تاریخش درست کار نمیکنه،ینی دیر بروز میشه،مثلا ساعت هشت و 9 صبح تازه تغییر میکنه",No,No,Yes,Yes,No,No
با توجه به قیمت و هزینه ای که پرداخت می شود بسیار مناسب هست. دوسال هست که استفاده می کنم,Yes,Yes,No,No,No,No
